B|Okay, so I think, I think what we should talk about is, uh, the war.|fo_o_fw_"_by_bc sv
A|Okay.|b
B|The war that just went on. See, I, I don't agree with it. First of all I don't believe in war.|sd sv sv
A|Uh-huh.|b
B|And then, the United States has this attitude by saying, you know, thank you for keeping us our freedom and stuff like that. And I think it's all independent because, it's, it has nothing to do with the United States. You didn't gain anything from it.|sv sv sv
A|Uh-huh.|b
B|And it wasn't our freedom that you were saving. It was just, the thing, the thing that, that, that I saw was okay, Iraq wants to raise oil prices.|sv % sd sd
A|Uh-huh.|b
B|Kuwait wants to take Iraq out of the whole system,  by leaving them independent.|sd
A|Uh-huh. Uh-huh.|b b
B|And so, when Iraq, you know, saw this, they said let's take over the country, which is a good idea, right?|sd ^g
A|Uh-huh.|ny
B|Then the United States says, okay, our, our oil prices are going to go up. And like for example, see, okay, like Lithuania right, they declared themselves an independent country with a president, right.|sd sd ^g
A|Uh-huh.|ny
B|Russia goes in there, well the main government in Moscow goes in there and they kick everybody's ass. And the United States doesn't go in there and say, listen, they were, you know, named an independent, you know, state with a president and everything but we're not going to go into your country.|sd sd sd sd ^q
A|Uh-huh.|b
B|But these countries here, which, you know, are, you know, like in NINETEEN EIGHTY-FOUR, have you ever read that book?|sv qy
A|No, huh-uh.|nn nn
B|Okay, NINETEEN EIGHTY-FOUR there are like three big continents and, uh, there's just this area, like around Egypt and stuff,  that everybody's fighting over.|bk sd sd
A|Uh-huh.|b
B|Now the problem is, is that nobody's going to invade anybody else's boundaries.|sv
A|Uh-huh.|b
B|Right, like their immediate boundaries. Like you're not going to go, you know, it's like the Army's not going to go straight into Russia because there you're, you're invading their border, right.|b sd ^g
A|Uh-huh.|ny
B|But all the other countries, you can fight about.|sd
A|Uh-huh.|b
B|And so the thing is, is that you're wasting so much money to send, you know, it's like how much money did the U S spend when they could have paid so much money for each barrel of oil that was being,|sv qh
A|We'll probably never know how much it actually cost.|sv
B|And you know, it's, it was basically all based on oil because nobody actually, like for example, if, uh, let's say if, you know Brazil took over you know, Surinam.  I don't think anybody would care.|sv sv
A|Uh-huh. Yeah.|b b
B|You know, and, uh, that's something that, that has been, you know, very, because, see the thing is, is like every time that I see a war, I see myself on the front line, and on the other side I see myself again, and I've got to shoot myself, you know.|sv sd
A|Uh-huh.|b
B|I got to shoot somebody that's got the same family that I do. You know, the same relationships that I do.|sd
A|Uh-huh.|b
B|And just because I was born here I've got to shoot them down.|sd
A|Uh-huh, oh, it's never a pleasant thing, that's true.|b sv aa
B|And, uh, but at least it was, it was over quick and there weren't that many deaths.|sd sd
A|Yes that's,|aa %
B|Now the only problem is, is the aftermath,  that you're having so many deaths in the border with, uh, Turkey.|sv
A|Yes. Yes, that's really unfortunate, it really is. I don't know if we stopped too soon, I don't, I don't, I really don't know what we need to do about that.|aa aa sv sv sd sd
B|Well, there's something that, that the U S did right which is say, say, you know, okay, let's kick him out of Kuwait, which was our basic goal.|sd ^q
A|Uh-huh.|b
B|And, uh, now, indirectly let's try to overthrow him, you know.|^q
