A|All right, um, I think the topic was crime in the city.|fo_o_fw_"_by_bc sd
B|Right.|aa
A|I do not live in a city. I live in a real small little place.|sd sd
B|Where is that?|qw
A|Uh, it's about thirty miles from Sherman.|sd
B|North, south, east, or west?|qy
A|It's north of Sherman.|sd
B|Well, you live almost in Oklahoma|sv
A|Not too far.|aap_am
B|Yeah . That's kind of ironic, because I don't live too far from Oklahoma either.|b sd
A|Huh-uh.|b
B|You know where Saint Joe is?|qy
A|Uh, I've been through there.|na
B|I'm about eight miles south of it.|sd
A|Okay. Oh, yeah. I had been through Saint Joe, but, um, just as far as watching the news and reading the papers and all that, it sounds like the crimes in the cities are really getting bad.|bk b sd sv
B|Well, you know, I've, I've seen those statistics and everything, and you know, what frightens me, is that, you put a half a million people out in the middle of the desert with high tech weaponry, you know,|sd sv
A|Huh-uh.|b
B|I mean, the Iraqis didn't have a lot of high-tech weaponry, but they had mortars and machine guns, tanks and all that.|sd sd
A|Oh, yeah. Sure.|b b
B|And, they didn't kill as many people in, in forty-five days, and they were intending to kill people,|sd sd
A|Huh-uh.|b
B|I mean, that was their job, as they killed in Washington D C.|sv
A|Oh, I know, I know. I know. Um, I think nowadays people just, really just, murder is nothing to them, you know.|aa aa aa sv
B|Well, I formulated a pretty radical theory over the last ten years, I guess. And, I've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted, or a gal is convicted, of a crime, rather than put them in prison, because prison's proven not to work, just let them go. Say okay, you're convicted|sd sv sd
A|Huh-uh.|b
B|and just let them go|sd
A|Yeah.|b
B|and if they get convicted again, well, just kill them.|sv
A|Yeah, because, uh, most likely that will happen, won't it, that, you know,|aa sv
B|Well, I think that the best hope to eliminate crime, as we know it today is to eliminate the criminals from society.|sv
A|Huh-uh. Huh-uh.|b b
B|If someone is known to have been in prison, they can't get a job.|sv
A|No.|aa
B|You know.|%
A|Yeah.|b
B|They can't be accepted into society. You know, if they're not going to be accepted into society, then everybody's going to become sociopathic.|sv sv
A|Huh-uh.|b
B|And, you know, who's to put the limit on it? I mean, I was watching a thing last night, up in Washington State. If you get convicted of, uh, sexual offenses, on a regular basis You know, I mean, some of these guys are forty years old and got ten convictions.|qh sd % sd
A|Huh-uh.|b
B|And they're still let out on the street after one or two years. Well, in Washington State, if you're a habitual sexual offender, they just don't let you out.|sd sd
A|Um.|b
B|So you serve your prison term, and then you go into the mental hospital, and if you're pronounced cured, they'll let you go.|sd sd sd
A|Huh-uh.|b
B|Well, they may find a cure for it, but there is no known cure now.|sv sd
A|Um. So you're, you're kind of thinking, in other words, if you get, if you do something the first time, that's not real bad, you know,|bf bf
B|Hey , people make mistakes.|sv
A|yeah, to go ahead and let them go, but if they do it again and they really need to face the consequences then, uh.|b bf bf
B|Well, yeah, use that or, you know, there's other consequences rather than killing them, you know, you could, always make them the slave of the people they committed the crime against.|aa sv sv sv
A|Oh. Huh-uh.|b b
B|You know.|%
A|Yeah.|b
B|At least they might have get some benefit in that, and if the people they committed a crime against, feel, at some later date, that these people have learned their lesson, are, are okay, you know, well, they can free them.|sv sv
A|Huh-uh.|b
