B|Well|fo_o_fw_"_by_bc
A|Well, what kind of music did you all listen to?|qw
B|Oh, my goodness. Now see, we think of classic rock that they, you know, have on all the easy listening stations now as our heart and soul.|^h sd
A|Uh-huh.|b
B|I mean it was, that is a really good question because that was everything from the Rolling Stones to the Beatles. I mean we were there.|% sd sd
A|No, now, well then you was, in the, uh, or, I am sorry,|ar sd fa
B|Yeah. I was,|b sd
A|I am going to make you sound like you're  eighty something.|sv
B|Well, I was,  I was in seventh grade when the Beatles came out.|bd
A|Okay,|bk
B|I was fourteen years old.|sd
A|Woodstock. What was,|sd qw
B|Woodstock?|^2
A|yeah,|ny
B|Well, I wanted to go. I was in Chicago. And I guess I was close to eighteen or something. I, I, I can't quite remember the year. And, uh,|^h sd sd % h %
A|You would have had a ball.|sv
B|Uh, yeah.|ny
A|I, I kind of liked, would have liked to have been there.|sv
B|We could not, we could not get it together to drive. I mean, you know, we had never driven outside of, you know,  ten miles out of town at that time.|sd sd
A|Yeah.|b
B|And here we were all hep to go to Woodstock, you know.|sd
A|Don't you wish you had been able to, though?|qy
B|I really do. You,|na %
A|Oh, that would have been such a great memory.|sv
B|It would have been incredible. I, I think of, uh, you know, all the, social changes that were going on around that time. And,  and the sixties as being so revolutionary in a lot of ways in terms of raising people's consciousness. Everything from,|sv sd
A|Yeah.|b
B|well, I mean, I remember we had the first Earth Day back then, you know,|sd
A|Yeah.|b
B|we got out of school at, at, uh, the university, and we celebrated Earth Day.|sd sd
A|You went and planted a tree or something?|qy
B|Yeah. Planted trees and stuff, and we did not realize, you know, the implications of all that then,  and a lot of the stuff that goes on  today.|ny sd sd
A|Uh-huh. Well, when I grew up, it just was not, we did not have any causes. To me it didn't, doesn't seem like we have got much, you know what I mean?|b % sd sv qy
B|You'll, I mean there there was no name to it. It was everything that was started in the sixties. You had, you had to fight for racial equality.|% sv sd sd
A|Yeah. Well, I do remember demonstrations over busing.|b sd
B|And busing|^2
A|Yeah.|aa
B|It was like just a continuum. You know, everything sort of had a seed in the sixties.|sd sv
A|Yeah|b
B|And women's rights, I mean, things for women were totally different for you by that time.|sv
A|Yeah. Well, right. By the time I was born, even now, you know, women's rights, uh, we just,|aa aa sd %
B|You just assume.|sv
A|we are totally equal now. There is not really a lot to fight over. Now I saw something on T V last night on TWENTY-TWENTY. You know, men's, uh, fathers or daddies, now wait a minute, Daddies Are People Too.|sv sv sd % ^h sd
B|Yeah.|b
A|It is about a lot of men, you know, all right, going through divorces. The judge will usually, uh, give custody to the mother ninety-seven percent of the time. Because they go through the female.|sd sd
B|Yeah. Well, we learned from KRAMER VERSUS KRAMER, didn't we?|b qy
A|Something like that. But it does seem, you know,|sd sv
B|It seems unfair.|^2
A|Yeah. It really does.|aa sv
B|But it, see men are coming into their own now too.|% sv
A|Yeah. They are, well, I thought about that. I thought well, now men, you know, have to fight to be equal. And I think that is only right though, really. He, one guy said the judge looked at him and said, "Well, now, Mister So and So," he says, "I have never seen, uh, calves follow a bull. They always follow the heifer." "That is why I always," he said, "That is why I always give custody to the mama." And he said, "Well," he said, "does that mean you are going to shoot them if they break a leg and, you know, butcher them if they get fat?"|b % sd sv sv % sd ^q sd sd
B|Yeah. Well, are you married and do you have children?|b qy qy
A|Yeah. I am married and I have got two kids.|ny sd sd
B|Two kids. And, and how does your husband respond to all the new, social, uh, changes?|b^m qw
A|My husband is not a conformist at all. He is still back there in the seventies Well, I mean he is still wearing bell bottoms not bell bottoms but, flared pants. And he, well I do not like them|sd sd sd sd
B|They are  going to be back in style any day now.|sv
A|Yeah. Any day now Well, he just, you know, he is, he is his own person. He,  you know, he does stay with it as far as music and stuff goes,|b b^m sd sd
B|Oh.|b
A|but he wears what clothes he wants to. Which we are both that way. If something is out of style, I do not really care. If I like it I am going to wear it.|sd sd sd
B|Yeah.|b
A|But, uh, my husband is not a conformist at all|sd
B|Oh. Well see, that, that is the spirit of the sixties. And whether we are talking about the rain forests.|b sv sd
A|Uh-huh.|b
B|I tell you, you know, the situation you have right now and, and all of our generations is what to do with the children. Because both mother and father have to work now.|% sd sv
A|Well, uh, we are trying to keep away from that. My husband works for the railroad.|ar sd
B|Oh, okay.|bk
A|We have got it real tight. But I have got a four month old baby, and I do not want to work. I want to tend to her.|sd sd sd sd
B|That's, That's, see, that is your commitment.|sd
A|I want to raise my kids. Uh-huh.|sd b
B|You do not know what you are changing when you do something like that.|sv
A|Well,|%
B|You do not understand the total commitment it takes to be a parent.|sv
A|Right. Well, when he grew up, he grew up with his, we both grew up with single mothers.|b sd sd
B|Uh.|b
A|And my mom had six kids.|sd
B|Uh-huh.|b
A|So, she had to work. And, you know, I was raised by my sisters and stuff. And I can, I can't see the difference. But I know that it would have been better had Mom been able to stay home with us.|sd sd sd sv
B|That one person that you could always count on being there.|bf
A|Right. Right. And my husband was the same way. And we just, I want to raise my kids. I do not want a day care or an aunt or anybody else raising them.|b aa sd % sd sd
B|Well,|%
