A|Do you have any?|qy
B|I'm trying to think offhand I can't think of anything, you know.|no ng
A|I have, I have one,|sd
B|Okay.|bk
A|and it's a real pet peeve of mine. It seems I, I do work during the day and when I'm home, uh, you know I'm either cooking or running doing, things or, uh, laundry or stuff.|sd sd sd
B|Uh-huh.|b
A|And I hate when the phone rings and it turns out to be a telephone salesman.|sd
B|Oh|b
A|And it's real, the two pet peeves that, number one, I really feel that that's my private, you know, my own home.|% sd sd
B|Uh-huh.|b
A|And I and if I want something, I will get it.|% sd
B|Uh-huh.|b
A|I will go out and get it myself. And I will never, I never buy anything from a telephone, salesperson.|sd sd
B|Oh, I wouldn't, either, no.|aa aa
A|So, I really feel that it is a real invasion, they're invading my time and my space by, you know, interfering in whatever I'm doing|sd
B|Uh-huh.|b
A|and I, it really bothers me.|% sd
B|Uh-huh.|b
A|Um, it's a little bit like junk mail but except you can't, you know, ignore it, uh, quite as easily.|sv
B|Yeah.|b
A|And I, I try to be polite, but at the same point,|sd sd
B|That doesn't always work.|^2
A|Well, I just say thank you very much for calling but I'm not interested, and then I hang up before they can say anything.|sd sd
B|Oh, really?|bh
A|Yes, and it works very well|ny sv
B|Oh|b
A|Because you don't hear, you know how, they can say anything they want it's just, but I just feel that's my big thing on the invasion of, my thing on invasion of privacy.|sd sd % sd
B|Uh-huh.|b
A|And, um, I have, uh, I sort of have a sort like you can prevent yourself from getting junk mail by getting yourself off of mailing lists. I wish that there were a way that you could, um, get your you know, submit your telephone number to the phone company and have a penalty for anyone who calls you to sell things, from a|sd sd sd
B|Uh-huh, well, how do you get your name off the junk mailing list?|b qw
A|Uh, you, you, you, you do that by, uh, um, the postal service has some information which you fill out and they send, it's for every company, I mean you can't do it for any|sd sd sd sd
B|Uh-huh.|b
A|you know, but you can then send it and they can they tell, that company is not allowed to sent it, you any junk mail.|sd sd % sd
B|Oh, really?|bh
A|If you get junk mail on a regular basis from any particular company you can,|sd
B|Oh, I didn't even know that.|b
A|Yeah, yeah, you have to go to the post office and ask them for the form that you fill out to, not to get, you know, junk mail from specific companies.|b b sd
B|Oh, wow.|ba
A|And I wish there were something like that where you can call the telephone company|sd
B|Yeah.|b
