A|All right and, and your occupation is teaching?|b qy^d
B|I'm a, I'm a substitute teacher.|na
A|Substitute teacher.|b^m
B|Is, is this Pat I'm talking to now?|qy
A|Yes, it is, it is.|ny sd
B|Yeah, I'm a substitute teacher, in, I believe, the same school system we both work in.|b sd
A|Right. Well, I was just trying to make an introduction, here|b ad
B|Oh, okay.|aa
A|But, oh, and, and I haven't told you I'm going to be at a different school this year, now.|sd
B|Oh.|b
A|I've just gotten a, another job at an elementary library at Barron.|sd
B|Well, I bet you're, you're, you may dress differently, then, for that.|sv
A|Right. I, well, not really. I've got the, every day I've got to, uh, read to kindergartners, so I'm going to be down on the floor with them. I've got about forty kindergartners I'm going to be doing, working with every day for, uh, you know, a half hour. So I'll be, I'll probably be wearing slacks as often as I do because I'm, I'm, if I'm going to be down on the floor messing with them, I'm not going to wear nylons and, you know nice nylons and dresses.|b % arp_nd sd sd sd sd
B|Well, What I wear sometimes depends on, on how cold I think the school might be or what room I might be in since I'm a sub, and have different rooms to go to. And always carry a sweater.|sd
A|Right. Well, of course, you've been at Clark enough that you know it's always cold|b sv
B|Yes.|aa
A|But, you don't know, uh, I guess at some of the other schools you go to unless you've been there.|qy^d
B|No, you try to layer, so you can add or, or or take off.|nn sd
A|Subtract. Right.|^2 b
B|And it's, it's interesting to notice when you go to different schools that some are a little more fancier than others and have a very casual, uh,|sd
A|I, I think some of the dress codes are different at different schools. That's one of things, one of the things I ask about, you know, whether, whether she would allow slacks and she said she doesn't have a problem with that, she just didn't like sloppy dressing.|sd sd sd sd
B|Uh-huh.|b
A|And, and I said, well, you know, that was okay. And I'm, basically, I just, you know, I wear slacks year round except every, about once a week I try to wear a skirt. And, and in the winter, you know, I just add a, maybe wear longer sleeve shirts than I do in the summer. And add a heavier jacket or, you know, wear jackets more in the winter than I do in the summer.|sd % sd sd
B|Uh-huh.|b
A|That's about, I don't, I don't really work in a profession that requires that I wear a business suit and, you know, look really,|% sd
B|Right, and, well, for me sometimes, they even have dress up days or they, you know, have, have spirit week that, that you wear your different outfits|b sd sd
A|Yeah|b
B|and you have to have the color for that particular school if you, if you choose to participate in spirit week.|sd
A|Right.|b
B|And one might be a hat day where you have to come up with some sort of hat.|sd
A|And you never know that, though sometimes when you're going in, do you?|qy
B|No, but because I sort of stick to several schools, uh, I'm usually aware that there might be a spirit week going on and, and might, might remember to do it.|nn sd
A|Right, right.|b b
B|And then many schools on a particular day during, uh, I guess football season, maybe all year long, they wear the school colors for, uh, game day which,|sd
A|Right. On what, Thursday.|b ^2
B|Right, it might be Thursday for the high schools and it may be Friday for the senior high schools.|b sd sd
A|Right, right. So that would kind of give you a, a clue, I guess and, and sometimes you get the long term stuff so you're aware ahead of time of what's going on.|b b sd sd sd
B|Yeah.|b
A|That, so that's, and I don't know, you know, I, I think about, well, the dress code they have for the kids, you know. Are they put one on the parents, or the teachers and say they have to, the men have to wear ties and there can be no blue jeans worn and, because some of the teachers I know wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had dry cleaned so they have got the crease|% % h sd % sd sd sd
B|Uh-huh.|b
A|and, uh, you know, they'll wear it with a nice top. And, and, uh, I don't know that that looks that bad. But, if you're going to tell the kids they have to dress up, I guess you can tell the teachers that, too.|sd sd sv
