A|Okay Where to start.|fo_o_fw_"_by_bc qh
B|I haven't had that much, of course I just heard, but I haven't had that much time to think about it, either. I guess the, uh, biggest thing I find is the financial aspects, uh, particularly, the ability of people to access, you know, your financial records or, for example your credit, uh, rating almost at will.|sd % sd sv
A|Uh-huh. Uh-huh. That's true. I didn't think about that.|b b aa sd
B|And, uh, of course flying , uh, using your Social Security number, of course, permits people to do that|% sv
A|Uh-huh.|b
B|and almost anything you do now, a Social Security number is required.|sd
A|Uh-huh.|b
B|And, uh, of course there's another aspect of this, too, uh, in terms of invasion of privacy I just thought about it, being a professional and, of course, you probably belong to one or more professional organizations, and that is that some of the organizations sell their mailing lists which I think is a, is an invasion of privacy.|sd sd sv % sv
A|Uh-huh. I agree Yes, I get some of these things in the mail that I wonder, where in the world did they get my address or where did they get my name And in fact, some of these things I get, some of these questionnaires, it's funny because I'm, I was in the process of filling one out when I decided I would make this phone call, but uh, I haven't got to the end of it yet where it asks all that salary information and everything, but, when you have to send that back in the mail with your name on it, your salary information, I, I just have a real hard time doing that, uh, and they ask you what type of household items do you own, like stereos and T V and V C R and, and you hate to send something off with your name and address and what types of things do you own and what kind of money do you make and you wonder, well, who's going to get ahold of this and think, um, that's a nice place to go rob|b aa aa sd sd sd sd sd sd sd sd sd sd
B|And not only that, it, it opens you to phone solicitations for a variety of things from,|sv
A|Right. Uh-huh. Uh-huh. I got one tonight about six thirty when I sat down to eat dinner, carpet cleaning|aa b b sd sd
B|I've had them for carpet cleaning, I've had them for, of course, for, you know, real estate investments|sd sd
A|Uh-huh.|b
B|you know, you get, uh, please send in your, uh, you know, this particular card and you get, uh, a free trip or something along those lines.|sd
A|Right.|b
B|And so, that, uh, that bothers me because I, of course, I enjoy being at home and I do not enjoy getting called by strangers uh, particularly you know, soliciting.|sd
A|Uh-huh.|b
B|So, having your, and I know that a lot of these, of course, are random phone calls|% sd
A|Uh-huh.|b
B|they just, you know, start going through the phone book or going through a series of numbers, but some of them are sold, and I know you talking about mailing lists, the I, there is one particular group to which I belong and for some, the reason they have three different names for me.|sd sd % % % sd % sd
A|Um.|b
B|Now the address is the same you know, my, my office address|sd
A|Uh-huh.|b
B|But they have one under, you know, my first name, James. They have one under my first name and initial middle initial,|sd sd
A|Uh-huh.|b
B|then they have a, a third one under my, just my two initials.|sd
A|Uh-huh.|b
B|And and I get mail here at home under each of those names.|sd
A|Uh-huh. Oh, no|b ba
B|So I know that they have sold their mailing list.|sd
A|Right.|b
B|And, uh, I think those two things bother me more than anything else as far as an invasion of privacy.|sd
A|Yeah.|b
B|And, uh, I can't really think of anything else offhand, that, uh,|sd
A|I think I dislike the phone number part the worst. I mean, it's, it's one thing to get junk mail because you can, you can just put it right in the trash, but it's the phone calls, and, you know, usually when they call you, it's going to be when you right when you sit down to dinner because they know, they pretty much know that you're at work all day and they call you right when, when you've just gotten home from work. The last thing you want is a phone call unless it's, you know, something halfway enjoyable, but if it's a salesperson, it's just something you don't want to have to mess with. And, and I've gotten a lot of them lately, or I'll, sometimes I come home from work and there's a lot of hang ups on my answering machine and I'm just assuming it's probably a salesman that called during the day and, I wasn't home, and they'll probably call me up and, you know, call me back and bother me when I sit down to dinner later on, but I find that very annoying The, uh, mail stuff,|sv sd sv sd sd sv sd sd % sd sd sd sd sd sd
B|Uh-huh.|b
A|yeah, you know, it's kind of irritating, but it's not nearly as obnoxious as the phone calls.|% sv sv
B|I think, I think you mentioning the phone calls during dinner, I know when I sit down with the family and want to have the opportunity, you know, to talk and see what's going on and all those things, even if friends call it irritates me.|sd sd sd
A|Uh-huh. Yeah.|b b
B|So I try to, I actually during that period of time from, you know, usually from six o'clock or six thirty, whenever I get home, until eight or so, I will shut off the phone|% sd
A|Uh-huh.|b
B|and, uh, my daughter gets irate when I, when I do that because, you know, she's a teenager|sd
A|Uh-huh. Uh, oh.|b ba
B|so she'll, you know, I might get an important phone call, but, So I guess those three things are the, uh, uh, most irritating to me.|% sd
