A|Where do you live?|qw
B|Uh, in the Houston area.|sd
A|Uh-huh. Well, I used to. I lived there for a long time. But I'm now in Palo Alto, California which is, I think, the recycling capital of the world.|b sd sd sd
B|Oh, that's great.|ba
A|So, we have many recycling activities and I'm, and in full, uh, support of all of them.|sd sd
B|Oh, we are too. Our community is, uh, just starting to get organized about it. They just opened up a recycling center where we go and donate our, our things and dump them off ourselves.|sd sd sd
A|Uh-huh.|b
B|And, uh, it,|%
A|Well, that's something but it, it seems to me that we've gotten a whole lot better, um, cooperation out here, uh, by setting it up so that we pay just a little bit extra, uh, actually I don't think we pay very much extra at all too, but the, uh, garbage men, come by, uh, on your regular garbage day and pick up the recycling out at the curb.|ba sd sd sd
B|Uh-huh. I think that's great. There's a few places in Houston where they're trying that out. I don't know if it's, the, if they've done it citywide yet or not where they have the color coded, uh, bags and, uh, bins.|b sv sd qy^d
A|Yeah, we have burlap sacks,|ny sd
B|Oh.|b
A|and they give us one for aluminum and, uh, steel, one for metals, and one for glass,|sd
B|Uh-huh.|b
A|and then you can either bundle your newspapers or put them in grocery bags. So, we have, we leave three little piles, that they need out on the curb every Thursday and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty or leave the ones if they're still in good shape.|sd sd sd
B|Oh, that's great.|ba
A|And, the, it really pays for itself because, oh, then the city, gets the money from the recycling.|sv
B|Uh-huh. Yeah, we're, we're all for it. Our, um, we've got several bins in our, on, in our garage where we, uh, you know, sort things out and, and take it to, to the appropriate places.|b aa sd % sd
A|Yeah, the one thing I wish we could recycle is magazines. But they claim that because of the way they're bound they, uh, it's too expensive to recycle them. At my office, we have two big cardboard boxes in the library where everybody goes to pick up their mail,|b sd sd sd
B|Yes.|b
A|and they're, uh, one's for white paper and one's for colored paper so anything like manuscripts or computer paper or things like that goes in those boxes,|% sd sd sd
B|Uh-huh.|b
A|but we get tons of catalogs and things like that and magazines, and there's no way to get rid of them. It just seems like such a waste.|sd sv sv
B|Oh, it does. It does. But I'm sure that they can, uh, find some sort of, uh, use for them if, you know, you know, there, I've seen talk about, uh, using garbage for, uh, energy.|aa aa sv sd
A|Uh-huh.|b
B|And so, you know, you could also apply the magazines toward that.|sv
A|Well, that would be a help. I wish they would do that here. We have got so little landfill space left that we're going to run out before the end of this decade.|ba sd sv
B|Yes.|aa
A|And it's really going to be a mess when they have to start hunting for places to put the things.|sv
B|Oh, I know it.|aa
A|We did have, uh, another novel, uh, experiment start this year. Now we can put all our yard clippings out.|sd sd
B|Oh.|b
A|You can, you buy these super giant heavy-duty paper bags, they're about four-feet high.|sd sd
B|Uh-huh.|b
A|And you get them for I think it's about fifty cents apiece at the grocery store you, um, usually buy them by the dozen.|sd
B|Uh-huh.|b
A|And then you put all your yard clippings and, uh, leaf rakings and anything that will be compostible .|sd
B|Oh, uh-huh.|b
A|And those and they, the garbage men also pick those up on Thursdays.|sd
B|Oh, that's great.|ba
A|And then the, uh, they take them to a special part of our dump where composting is now in full swing, and at the end of every year, uh, they sell all the composts to nurserymen and to local people who want to put it on their flower beds|sd sd
B|Right, well, that's a great idea. I wish we were that, uh, involved in, uh, or that our city was so involved in, that involved in recycling, like that|b ba sd
A|Yeah.|b
B|because, you know, I've talked to many people and we wouldn't mind going its extra effort to do it. Uh,|sd sd
A|If they make it so that it's not a horrendous inconvenience, I think most people would.|sv
B|Yeah, oh, yeah. You know, and I don't mind, you know, at first it was the, the little extra money that you got, you know, returning the cans in and stuff like that.|aa aa sd sd
A|Right.|b
B|But now, you know, I don't mind as long as things are getting recycled, you know, that we don't get reimbursed.|sd
A|No, I think it's, it's, to me more of a convenience to have them come pick it up, then to get that two cents when you take it to the store.|aa sv
B|Uh-huh. Oh, I, oh, I know it.|b aa
A|We still have bins at the grocery stores where you can turn in bottles and cans, for cash.|sd
B|Uh-huh.|b
A|But so few people, uh, have enough to make that worthwhile you'd spend more in gas getting down there then you get back.|sv
B|Right. Yes. And then the, plus the time that you waste standing in line is valuable also.|aa aa sv
A|Now do the grocery stores in Houston have recycling for their paper bags and plastic bags?|qy
B|We have, I know of one that, the one that we use, uh, has, uh, recycling for the bags.|% na
A|Uh-huh.|b
B|And, uh, and they're promoting the cloth bags. You know, the reusable cloth bags.|sd
A|Yeah, well, we can get a nickel apiece for any paper bags that we bring back to be reused.|b sd
B|Oh, that's great.|ba
A|They just take it off like they do a coupon. They can just subtract it from your bill,|sd sd
B|Oh.|b
A|and they have a giant bin by the front door for the plastic bags,|sd
B|Uh-huh.|b
A|and they say, as long as it's clean they don't want a plastic bag that's full of goop|sd
B|Yes.|b
A|Here they don't want your rotted tomatoes. But they want any clean and dry plastic bag so I keep, and the thing is, I hardly have room now for all the things that we're saving it to recycle, so right outside the back door, I've got the two burlap bags hung up for the cans and bottles,|sd sd % sd sd
B|Uh-huh.|b
