A|Okay. Um, what do you do this weekend?|fo_o_fw_"_by_bc qo
B|Well, uh, pretty much spent most of my time either in the yard or at nurseries buying stuff for the yard.|sd
A|Huh. Which is, what do you plan, have planned for your yard?|% qo
B|Well, uh, we just bought our house, uh, last July, and it's, it, it, the house is forty years old so there's, there's an established lawn and whatnot, flower beds, things like that, but they've, uh, they've gone a few years of neglect.|sd sd sd sd
A|Uh-huh.|b
B|So, we're in the process of, uh, revitalizing the whole situation. We've got, um, different flower beds in front and, uh, a window box, a built in window box, um, trying to get some color back in those, get the trees trimmed up, uh, get rid of a few weed problems and things like that.|sd sd
A|Huh.|b
B|So,|%
A|What part of the state do you live in?|qw
B|Uh, I live in Dallas.|sd
A|Oh, okay. Okay. My wife and I, we live in Dallas too, so.|bk bk sd %
B|Okay.|b
A|Yeah, just what that area, we're planning on moving to Flower Mound, and we're going to be getting some wheel we're going to have to do a lot of lawn and garden work there.|b % sd sd sd
B|Yeah.|b
A|Seems like it. Uh, the place we've been living at, it's, uh, we're, we're just leasing it. The, in Plano, and the soil has so much, has such a high clay content, that, uh, uh, I went to use my dad-in-law's tiller and it about for my arms off, sockets|sd sd sd
B|Uh-huh. I'll bet. I'll bet.|b ba ba
A|I mean just, just scratching two or three inches was just a chore. It was, it was and then when it gets wet, you know, you don't even want to get out in the yard,|sd sd sd
B|Right.|b
A|it's horrible.|sd
B|Right.|b
A|It's a nightmare. But, um, I don't know what, what um, where you live is there a real high, uh, alkaline or ash content or,|sd % qy %
B|Yeah, it's pretty high actually it's done, uh, it's in the north end of Oak Cliff in, uh, Kessler Park area,|ny sd sd sd
A|Yeah, yeah.|b b
B|and, uh, we've got about,|%
A|I know right where that's at.|sd
B|yeah, we've, we've got maybe eight to eight inches to a foot of soil,|b sd
A|Uh-huh.|b
B|and then it's solid rock from then on down, so.|sd %
A|Really.|bh
B|Yeah, it's, uh, a little aggravating, we can't, we can't put in anything too big, um, as far as, uh, shrubs and things like that because they've got to get a chance to find the, find the cracks in the rock.|ny sd sd
A|Golly.|ba
B|But, uh,|%
A|Is it, is it limestone under, underneath?|qy
B|Yeah, it is. It's, it's solid limestone.|ny sd sd
A|How do you put trees in there?|qo
B|Uh, you just, we're just happy that there's trees already there so far,|^h
A|Huh.|b
B|um, anything like that is, is a, uh, major undertaking I guess, uh, sprinkler systems or anything, uh, start to get real expensive because there's an awful lot of work that has to be done chopping through the rock. But, uh, and it, you know, not even, consider, considering a pool or anything like that, that's, that's, practically has to be blasted in I guess.|sd sd % sd
A|Oh.|bk
B|But, uh, and it makes, it makes for a, a different challenge, I've never, well, I, I moved to Dallas about five years ago,|% sv % sd
A|Yeah.|b
B|and, uh, I never really, messed with anything, uh, gardening or anything like that until now, but, uh, I, I keep hearing all the stories of, of different parts of town. In fact, uh, we even, we were at the farmers market yesterday and bought a few tomato plants and things like that,|sd sd sd
A|Uh-huh.|b
B|and the first thing the, the old guy there at the stand asked is what part of town we lived in because he said, uh, I've got, I've got a dozen different varieties and each one works in one part of town and that's it, That's basically what he was trying to tell us.|sd ^q sd sd
A|Yeah. Oh, yeah, we, we tried planting tomatoes last year and it, they, they turned out pretty poor.|b b sd sd
B|Yeah.|b
A|I just, I I just wish I'd known the, the variety and everything.|sd
B|Yeah it,|b %
A|But it, it's amazing we also have roses, and, I mean, they just grow so beautifully.|sd sd
B|Yeah, that in fact, we put in some, uh, some more roses yesterday.|b % sd
A|Like what, um, what type roses?|qw
B|Uh, different, uh, a few different, uh, hybrid tea type varieties.|sd
A|Oh, hybrid teas.|b^m
B|Yeah.|b
A|Yeah, we, we have a few, uh, of the real short stem. They're they're kind of like the bush roses.|b^m sd sd
B|Okay.|b
A|But, uh, I don't know I think it's, I think it only has about five or six more years to go because it's a, it's a really old bush,|sd
B|Yeah.|b
A|and but I, I, I'm amazed because the sun is so intense, and the roses just seem to survive just fine there.|sd sd
