B|Okay.|fo_o_fw_"_by_bc
A|Well, I haven't, uh, you know, when the war was on I watched C N N and, uh, NIGHTLINE pretty regularly and read the paper and all|% sd
B|Uh-huh.|b
A|but when, uh, lately, like the last week or two I guess with Easter and spring break with the kids I, um, I hadn't been thinking much about the Middle East and what's going on over there. Have you been keeping up?|% sd qy
B|Well, uh, just really the last couple of days since this, uh, the, U N debate or whatever you want to call it that, uh, voted on whether there was going to be a cease fire. I guess, you know, the thing really isn't over.|na sv
A|Uh-huh.|b
B|They, uh, they had, uh, kind of, uh, I don't know if you call it standout or whatever but anyway they stopped and waited to see if Iraq would accept a permanent cease fire situation though. As I understand it, from the Iraqi point of view this current cease fire thing that the U N, uh, had set up, you know, the Iraqis are probably not going to go for at all, unless they're just absolutely forced to.|sv sv sv
A|Uh-huh. Um.|b %
B|So, I guess, from what I understand the thing could just it could just, they could take off at any moment without, uh, you know, you know, any local, you know, congressional effort or anything else because, you know, it's not really settled yet.|sv
A|Start up. There's no official document signed or anything?|^2 qy^d
B|Not yet. Not yet at all.|ng ng
A|Well, I, um, when the, when the crisis began last August I began to think well I, I couldn't remember things that I had studied in the past in school and all so I got out like my encyclopedias and tried to read about the history.|% sd sd
B|Uh-huh.|b
A|And it was really, what I felt was kind of cynical because it there just hasn't been any peace over there ever In thousands of years, of history.|sd % sv
B|No. Yeah. I don't know, why they expect it's going to start this week, you know.|aa b sd
A|Yeah. That's right. And it just, it's just not people they, and it's not, uh, you know, there isn't any real Arab coalition because they do fight among themselves.|b ba sv % sv sv
B|Uh-huh. Uh-huh.|b b
A|And they fight with each other and they have such hatred for, uh, Israel and,|sv sv %
B|Yeah. The, uh, the thing that's kind of interesting about this, my sons in the Air Force.|b sv sd
A|Oh, yeah.|b
B|And, uh, he came within a quarter of an inch of going, uh, to Saudi, he ended up in Korea instead and because of the way they split a transportation group out in Lubbock. So he ended up going to Korea and his buddies ended up going to Saudi. Well, he's still in Korea and his buddies home now He, he almost wishes that, that he could have gone home.|sd sd sd sd sd sd
A|And got it over with.|sd
B|Yeah.|b
A|Well, I just, there's just no way for us to be involved over there and hope that there will be much peace.|% sv
B|Uh-huh.|b
A|And, um, with, and that I'm afraid that we would have to stay.|% sv
