A|Okay.|fo_o_fw_"_by_bc
B|Okay, I, my children as a matter of fact, are all grown now. So, I am assisting them with their children in their selections,|b^m % sd sd
A|Uh-huh. Oh, great.|b ba
B|so.|%
A|Great, well my children are grown, but they're teenagers|ba sd sd
B|Uh-huh.|b
A|so I have three children, um, fifteen, ages fifteen, seventeen and twenty|sd
B|Uh-huh.|b
A|and, um, about, I guess about when the first, when the youngest one was in kindergarten I started working at a preschool and, uh, you know, doing some work,|sd
B|Uh-huh.|b
A|and then I, I took a couple of years off and then went back as a music teacher in a preschool, so so I am around, not a day care situation, but in the, you know, in the child care environment|sd sd
B|Uh-huh. Uh-huh.|b b
A|so, um,|%
B|Well, I, myself, really feel like the structured day care program is more successful in today's environment than the one on one care is.|sv
A|Uh-huh.|b
B|Uh, when my children were growing up, I actually had them, up and until they were in the preschool situation, I had them in a, in a home with a lady who kept two or three kids, and I felt like that home environment was very important to them.|sd sd
A|Yeah.|b
B|It was important to me|sd
A|Yes.|aa
B|and, uh I feel like that they, they had that one on one that's so necessary at that age.|sv
A|Uh-huh. Oh, it is.|b aa
B|However in today's environment it may be more critical to have the ability to interact in large groups, simply because that's the way our young people are, are dealt with.|sv
A|Yeah. Uh-huh. Yeah, in other words,  there're more people,|b b aa bf
B|They're dealt with,  in packages.|sv
A|Yes, yes. That's, that's an interesting point of view. I, uh, you know, seeing the children in the school the way I do, I, I mean, I see the ones that, we can always tell the ones that have not been around children at all when they come in as three year olds as opposed to the ones that have been in the program, that started at twelve months maybe, and were were even in there one day a week which is all our school provides for the, you know for the under three year olds|aa aa ba % sd
B|Uh-huh. Uh-huh. Sure. Uh-huh. Uh-huh. Uh-huh.|b b b b b b
A|but still they have an an opportunity to be with other children|sv
B|Absolutely,|aa
A|and it is true, and, uh, I, but I think that would, but as far as looking for a place, you know, I, the criteria, I mean, I think it's very important to have very caring people, you know to take care of the,|sv sv
B|Oh, absolutely without a doubt,|aa aa
A|in a school if you're going to have the structure and you're going to have the large numbers, you're going to need really,|sv
B|Uh-huh. I recently stopped by McDonalds, and I was sitting out in their little playground while my granddaughter was playing on the things, and was visiting with another mother who was there with her children, and she was telling me that she was given the opportunity to manage a day care center, and of course, she was, she had just gotten her degree, and she was so enthusiastic, and she was excited about it and she was going to accomplish all of these things|b sd sd sd sd sd sd sd
A|Yes, yes,|b b
B|however, uh, when it came to hiring and staffing people who cared and who were willing to take care of those children and spend that kind of time, the pay is minimal|sv
A|Yes, it is.|aa aa
B|and it takes people with total and complete dedication who really don't want to make a living for themselves in order to be in that environment,|sv
A|Yes, that's right, that maybe, Yeah, that maybe have another salary in their family that, where they can do that,|aa aa % aa sv
B|Absolutely,|aa
A|and that's what I had the opportunity of, you know, doing|sd
B|Uh-huh.|b
A|and, and I could concentrate on the creativity, and, and you know, really having a lot of fun with the children and and providing,  them with a great atmosphere,|sd
B|Uh-huh. Well, they ask,  so much of those caretakers for the amount that, that they pay.|b sv
A|Yeah.|b
B|They are to be there ahead of time, you know, they're there early to receive the kids,|sv sv
A|And they have to be there at sometimes six o'clock in the morning.|sv
B|That's right.|aa
A|which is, yeah,|% %
B|And then, then they have to work until the shop, until the place closes at six P M and then it's their responsibility to clean up and be prepared for the next day because they don't have cleaning crews in most of those.|sv sv
A|Yeah. Yes, that's true, that's true.|b aa aa aa
B|And, uh, she just had a terrible time keeping sincerely dedicated people simply because they could not live with a kind of hours and the salary.|sd
A|Yeah, yeah|b b
B|Uh, and she,|%
A|because people can't pay to provide and,|sv
B|Uh-huh. Uh-huh|b b
A|well ours is not, you know, ours is just, is a church, and so we, we don't have the, the expenses of a building, you know|sd sd
B|Uh-huh.|b
A|we share the expense with the church, but we don't have enough|sd sd
B|Sure.|b
A|you know, taking care of a whole building and that responsibility.|sd
B|Uh-huh.|b
A|So, uh, it is, it is a lot different.|sv
B|Well, I know that when my youngsters were small, now my older son was adopted so he went into child care at two weeks|sd sd sd
A|Oh, my goodness.|ba
B|and, uh, my younger son went into child care at six weeks.|sd
A|Yeah, yeah,|b b^m
B|So, they were in that environment actually, up until they became, uh, seven and nine.|sd
A|Uh-huh.|b
B|And at that point I said, Look they have been given the custodial care that they need, and the after hours care has been as good a quality as I can provide for them. However, they're going out into the school environment now, they're under a lot of other influences. I need to be here for them. I need to be involved in their school, because I want to be the one who influences the way they develop.|sd ^q ^q ^q ^q ^q
A|Yes,|aa
B|So I quit working after my kids started to school and got involved in volunteer work in their private school so that I could help direct their, their learning experiences and their development.|sd
A|Oh, you did? Um. Yeah, yeah.|bh b b b
B|I, I felt like that anybody who cared and loved the kids could change their diapers and feed them and bathe them and hold them.|sd
A|Uh-huh. Yes, yes,|b aa aa
B|But when time came to direct their ability to make choices to develop the kinds of things that, that they're going to need to interact with other people, I felt like I needed some strong influence there.|sd
A|Uh-huh, uh-huh. Yeah.|b b b
B|So, I|%
A|Well, that's different than most people do it. I mean a lot of people do it really the reverse and go to work after the children are in school, you know.|sv sv
B|I know. That's right, once they get up in Uh-huh. Uh-huh, uh-huh.|aa aa sv b aa aa
A|But, uh.|%
B|Well, I just felt very strongly about that, and I, I did not work as a matter of fact, my son was in the second grade, and when he started, uh, at Skyline High School, I asked him, Son, when, uh, you know, where do I go to sign up for the P T A? And he said, Mom, don't do that to me, please don't do that to me. So I knew it was time to go back to work. But I feel very good about spending those years with my boys.|sd sd sd sd sd ^q sd sd
A|Yeah. Yes, that's true.|b aa aa
B|Uh, and I was just really grateful I only had one bad child care experience. It was in a home. Uh, the care taker that they had had since they were infants just could not do it. She was from, um, uh, uh, Argentina|sd sd sd sd
A|Uh-huh.|b
B|and she was going back home, and I couldn't just, you know, wait for eight, three or four months and then bring them back to her|sd sd
A|Yeah.|b
B|so I had to find a new place|sd
A|Yeah.|b
B|and I put them in this home, the kids cried when I took them, the kids cried I could hear the kids crying when I went to pick them up|sd sd sd
A|Oh, dear,|ba
B|they were always cranky and irritable|sd
A|Oh, dear,|ba
B|so I just took off and went there one day, and, uh, the children were left unattended in a room, you know, they, they were not well cared for|sd sd sd
A|Oh, how awful,|ba
B|and, uh so it didn't take me long to take them out of that place|sd
A|Yeah, Yeah.|b b
B|but, that's the only bad experience I had, the rest of the time they stayed in La Petite Academy|sd sd
A|Uh-huh.|b
B|and I was very pleased with their development and their progress.|sd
A|Uh-huh.|b
B|They learned a lot of things in those public environments that you just as soon they didn't learn, but they're going to learn it sometime, so but for the most part, they did have good care,|sd sv sd
A|Yeah, yeah.|b b
B|and it did appear to me that the people who cared for them had a good concern for them, and in one particular case they had a summer program where they were to be taken to the Y and taught to swim which just pleased me to death because I've always been, you know, been afraid of the water|sd sd
A|Uh-huh. Oh, yes, Oh.|b aa b
B|however, my older son came home and he said, Mom, I don't like that man, said, he took me by the head and dunked my head under the water and told me I had to get my face wet or I'd never swim|sd sd sd
A|Oh, gosh, Oh, dear.|ba ba
