A|Okay, what kind of car are you thinking about buying next?|fo_o_fw_"_by_bc qw
B|Well, what a what do we currently have, I have a Subaru, uh, G O X T.|t1 sd
A|What year?|qw
B|Eighty-eight.|sd
A|Oh, okay. Well, I have a ninety Honda Civic, and I'm ready to get rid of it Actually,|bk sd sd %
B|Oh, it's not pretty old.|sv
A|No, uh, well, I I had an eighty-eight that I really liked and it got wrecked, and so I bought a ninety, um, because I, I really liked my eighty-eight and I've had a lot of problems with this one, so,|aa sd sd sd sd %
B|So, you think their quality control's going down over there, kind of ?|qy
A|Well, you, it's, it's kind of funny, um, I know a lot,|% ^h sv
B|Well, I, I, I think we're going to see that I think, uh, that the quality that the Japan carmakers had is slipping a little bit, while American carmakers are trying to get their, put together,|sv
A|Oh. Yeah.|b b
B|so.|%
A|It's, it's true, it's definitely true because,|aa aa
B|But, but that's one reason I, uh, I've had no problems with my Subaru, that's one reason I went with it because I, Subaru had a good reputation, uh, for, you know, low maintenance, so.|% sd sv %
A|Yeah, well, Honda does too that's why I was really,|aa sv
B|Well, really, there's, there's no question but you have a nineteen, I mean, I've got to see if , I mean, I've seen and I've had friends that have, uh, like, uh, eighty-one or eighty, uh, Celicas,|b sv % % sd
A|Uh-huh.|b
B|and those things just keep ticking.|sd
A|Yeah.|b
B|I mean, they just, they can rack up a, a hundred fifty K on them,|sd
A|That's true.|aa
B|and they're still beating on them,|sd
A|That's true.|aa
B|and it's just amazing and then they got, and you know they're not making them like that now, you know,|sv % sv
A|No,|aa
B|so,|%
A|not at all.|aa
B|but they're still, they're still a lot, I think, definitely better than the American carmaker system .|sv
A|Oh, I, I definitely agree with you there, because I had, uh, uh, uh, Ford T Bird before I got my Honda, and it was the worst car I've ever owned|aa sd
B|Yeah.|b
A|and, um, that's why, I mean, I was so tickled with my Honda it was just a wonderful car and then it got wrecked and, you know, I wouldn't even look at another car|sd sd sd sd
B|Yeah.|b
A|I just went and bought a Honda, I mean, I didn't even, I didn't look around or anything I just said that this is what I want, and I really have had a lot of problems with it, but I don't know.|sd sd h
B|Well, maybe you need to unload it on somebody|sv
A|Well, I'll probably hold on to it since it's still under warranty but in the first twelve months that I owned it, it was in the shop an average of about once a month, it was in the shop about twelve times the first twelve months|sd sd sd
B|Yeah, that's a lot.|b ba
A|Yeah, it was, I was really disappointed because I was, you know, so, hyped up on Honda, so.|aa aa sd %
B|Oh, well.|b
A|Yeah.|b
B|Anyway, so, what's your next purchase supposed to be?|b qw
A|Well, I know this,|%
B|Oh, really , if you had a choice of your car, what would you get?|b qw
A|Well, it's, this is going to sound really strange, but I really like to have a Mazda M P V van, I really like those and I have kids, so.|arp_nd arp_nd sd sd %
B|I'm not sure I'm real familiar with the body style on that.|qw^d
A|They're a lot, I don't like the new style, like of the Toyota van, and the, the new Chevy Lumina van,|% sd
B|Uh-huh. Uh-huh.|b b
