B|Okay. How's the weather been out there?|fo_o_fw_"_by_bc qw
A|Well, the last three days it's been pretty rainy. We went to the beach|sd sd
B|Uh-huh.|b
A|and, uh, it started, uh, let's see, around four o'clock, and, uh, it had thunder and lightning, it was, and then, you know, it was just overcast and rainy for, uh, the next two or three days straight. How about yours?|sd sd sd qo
B|It's pretty normal for this year, you know, uh, they have tornados about once a week, and it rains about every three days. The last two years before, they've had record rainfall. By this time of the year they'd had enough rainfall for the whole year, but this time we're only, um, I think, maybe five inches ahead of, of, uh, normal.|sd sd sd sd sd sd
A|Uh-huh.|b
B|So it's not been bad at all.|sd
A|You're from Virginia?|qy^d
B|I'm from Texas.|ng
A|Oh, from Texas.|bk
B|Uh-huh. And, uh|ny %
A|I heard they had some flooding down there.|sd
B|Um, they had some flooding in Houston the other day, real, real bad over, I think it was over the weekend.|sd
A|Uh-huh. Um.|b b
B|The radar just looked nasty with a bunch of red splotches all across it.|sd
A|Uh-huh. Well, the last couple of years, we're, um, we're over as far as our rainfall goes. Before that it was really dry, and, uh, everybody was, you know, talking about rationing water and doing this and doing that. Not really rationing water, but just cutting down.|b sd sd sd sd
B|that's, that's right.|aa
A|And, uh, it seems like, uh, you know, the weather pattern is just shifting, and, uh, that, uh, jet stream is moving, uh, into our area, North Carolina and across,|sd
B|There|%
A|but it's, uh, changing latitude.|sd
B|Uh-huh, so you get a lot more rain that way.|b bf
A|Oh, yeah.|aa
B|Uh-huh. Brings in that cold air and mixes it with the, with the warm air coming off the Atlantic Ocean.|b sd sd
A|Uh-huh.|b
B|That's what,|%
A|It's finally cleared up. It's just now still a little overcast, but the but the sun has finally started popping out.|sd sd sd
B|Uh-huh. Is the temperature like sixties to eighties there too, or,|b qy %
A|Oh yeah, well, right now, as a matter of fact I'm fixing to go play tennis. It's, um, I'd say it's at least seventy-nine, eighty, well, about seventy-eight, seventy-nine degrees.|ny sd sd
B|Um, do you get east winds a lot of the time from the ocean or,|qy %
A|Um, actually the, uh, the wind normally blows, let's see, let me think about this, south, southwest.|arp_nd
B|Uh-huh.|b
A|Yeah, uh, but but actually our, I guess our weather pattern comes from the, uh, blows north east, yeah|b ar %
B|Uh-huh.|b
A|you're right, it blows north east.|sd sd
B|That's the way it does here most of the time.|sd
A|Uh-huh.|b
B|But, uh, sometimes it just comes straight from the north and then it, and then it doesn't veer off to the east until you get down to Houston, or, or, uh, maybe mid, mid-Texas|sd sd
A|Uh-huh.|b
B|depends on how strong the cold fronts are.|sd
A|How how far are you from Houston?|qw
B|Um, well, uh, Richardson's a suburb of Dallas.|sd
A|Oh, I see, so you, so you don't you don't get anything off the Gulf, uh, immediately from, from the ocean.|bk qy^d
B|Hardly ever, unless there's a hurricane or something like that.|ng
A|Uh-huh.|b
B|Well, uh, it's kind of early I was going to say, the weather man on, on, uh, one of our stations was talking about the way that the weather's doing now is like tropical weather, and he was afraid if it kept doing that, that they'd have early hurricanes this year.|% sd sd
A|Um. Well, we've had some, you know, pretty, pretty rough winds. Oh, uh, Bangladesh, boy, they, they caught it bad|sd sv
B|Yeah. Kind of wiped them|aa sv
