A|Go ahead. So Ken, how do you do your family budget?|ad qh
B|Well, we don't actually have a budget, budget per se. What we do is, uh, maintain a normal checkbook. You know, like, everyone in the world does, I guess,|sd sd
A|Huh-uh.|b
B|and occasionally it actually balances, And, um, we also, we, um, we have a, a U S Air and Visa card.|sd sd
A|Huh-uh.|b
B|Every, every dollar we, every dollar we charge is a mile for our frequent flier mileage.|sd
A|Oh, yeah.|b
B|It's a real good deal actually, if you charge a lot. So what we, what my wife and I have taken to doing is charging everything in sight. Anything we buy, we charge, including groceries and so forth.|sd sd sd
A|Huh-uh.|b
B|So what we'll do is,|sd
A|Well, then you just pay it off at the end of the month?|qy
B|Right. We actually maintain a, we have, a, we, we, we, we have a checking account that we treat like a savings, scratch that, we have a savings account that we treat like a checking account.|na sd sd ad sd
A|Huh-uh.|b
B|And so what we do is, we anytime we do or make or charge something, we write it out as if we wrote a check.|sd
A|Huh-uh.|b
B|And then at the end of the month all the money to covered already. So we just pay it off without having to worry about any interest or anything.|sd sd
A|Oh. That's a real good idea.|b ba
B|It keeps us hopping.|sd
A|Yeah. See, now I'd never get my wife to be able to follow that. Before we got married I had money in the bank. I owned my own home. I put in so much money, each, you know, month towards long term savings, you know, like in, uh, mutual funds and things, you know,|b sd sd sd sd
B|Huh-uh.|b
A|and, uh, after I got married, no, it just didn't work anymore. She spends a lot. She likes to spend on anything and everything With body lotion, everything So, we really haven't, we don't have a good organized system, yet. Maybe after awhile I'll rub off on her or something I don't think,|sd fo_o_fw_"_by_bc sd sd sd sd sd %
B|Well, you know, you know, you know, what's always good is sort of a for savings , where they just take money out of you're pay.|sv
A|Yeah.|b
B|We did that for awhile where, um, we actually still do it with, with my wife's salary,  where we put it, we have a separate, a third account even, a savings account in, in an entirely different bank where what we do is take money out of her paycheck every week. I'm a graduate student.|sd sd sd
A|Yes. So am I.|b sd
B|Oh, really. In what field?|b qw
A|Well, uh, in information systems. I'm a voice researcher.|sd sd
B|Oh, okay. I'm in, uh, psycholinguistics, actually.|bk sd
A|Huh-uh.|b
B|Um, but my wife has a real job.|sd
A|Yeah. So does mine.|b sd
B|Yeah What we do is, we take money out of her, out of her paycheck each week.|b sd
A|Huh-uh.|b
B|And put it, it goes directly to another account, that we don't, at an entirely different bank, that we don't have access to so easily, and it goes there and it stays there and it builds up until we need it for something.|sd sd sd sd
A|Yeah. See, I think we might have to do that Of course, she looks at what she brings home each week. It's going to be hard for her to, uh, not have her own money. Because, like now, you know, I put money in the bank and saved to go back to graduate school for two years. And now she wants to go back to school, but she saved enough maybe to get her through August.|b sd sd sd sd sd
B|Oh.|b
A|You know, and that's it. And I keep saying, now, Laura, you're going to have to save a little money. I don't know if my paltry graduate student fees are going to get us through. It doesn't work, Ken|sd sd sd sd
B|Gee.|b
A|My mother always said, "now, don't argue about money", so we don't.|sd sd
B|Right.|b
A|But, you know, there goes my savings|sd
B|God.|ba
A|But, you know, it's one of those things.|sd
B|I got lucky. My wife apparently is not a, she likes to spend, but she's pretty good about things.|sd sd sd sd
A|Yeah. Now, see my wife will do things like make clothes.|b sd
B|Wow.|ba
A|One of our, one of our big investments that, you know, I was wholeheartedly in favor of, was to buy a sewing machine. Because she makes clothes. And, you know, a descent sewing machine will really help her out and she's already made, you know, presents and gifts and things for,  shorts for me and things for the summer. You know, so I guess I can't, you know, we've probably almost paid off the sewing with, uh,  yeah, with the savings from that. So I can't complain too much, you know, she's, she's good about that. And, also, we, we dine at home a lot. You know, she likes to cook. So that saves us from restaurants or whatever but,  but, she does have things where she likes to pamper herself that just to me seem like money dumped down a drain. You know.|sd sd sd sd sd sd sd sd sd sd
B|Right. Well, I guess we all have those feelings.|b sv
A|Yeah.|b
B|I, uh, I uh, I, I go to, uh, I pay what I think is a lot of money to go to a karate class, you know.|% sd
A|Huh-uh. You know, but you need a hobby.|b sv
B|Right. Exactly, but that to her is sort of like a waste.|b ba sd
A|Yeah. That's true.|b ba
B|But she does her nails. So,|sd %
A|I know, and those nails are so expensive Oh, gosh. I was so excited when she decided she wasn't going to do her nails anymore. I guess she just stopped polishing them because they were yellow.|ba sd ba sd sd
B|Yeah.|b
A|And then she waits for them to get their color back. And then she'll polish them again. I don't know, whatever. So she stopped for awhile. Boy, what a difference. They buy nail polish every two weeks, it's, uh, my gosh,|sd sd sd sd sd sd % ba
B|Yeah.|b
A|And lotion, oh, my goodness, body lotion,|sd
B|Oh, yeah.|b
A|we spend more on soft, on, on body lotions with sesame oil and all these different things, than, uh, she must spend more on one application of body lotion than I do on soap for an entire year.|sd sd
B|Yeah Good old Ivory|b sd
A|Yeah. It's funny.|b sv
B|Um, well, it's for your benefit though, right.|qy
A|Oh, I think so, she's always soft. That's true.|na sd sd
B|, so that's helpful.|ba
A|Yeah. But I think, um, I don't know, maybe after we're not in school anymore, we'll be much better at saving. I think, uh,  I think that's, uh,|aa % h sd %
B|Yeah. Now do you still own a house? You said you owned one.|b qy sd
A|I sold my house. And that's what's really paying for my time unemployed or whatever. Because the graduate assistantship really doesn't cover, the ten thousand dollars in tuition, really doesn't cover living expenses. Um,|ng sd
B|That's great. Right.|ba b
A|we actually live in two different places right now because she has her job. So that makes it hard with, uh, you know, we're paying double rent, double utilities,|sd sd sd
B|Oh, wow.|ba
A|and that makes it sort of expensive but see, I live within my,  I live within my very menial income and she doesn't She doesn't live within her professional income, you know. So I just get a,|sd sd sd sd %
B|that's the killer, two apartments,|sv
A|yeah, and then even if we want to see each other on weekends, it's twenty-five, thirty dollars in gas, every weekend, and that really adds up too, you know, so it gets tough,|aa sd sd sd
B|Wow.|ba
A|I think, we'll, do much better when we're living together and we're only paying one rent and one telephone. You know, it will cut our telephone bills, you know, by five, by four-fifths, you know,   if she's here,|sd sd
B|Eventually, right. I mean you're not going to, Right.|ba % b
A|so it's actually tough this year, but it will be better in June. She will move in with me in June, so hopefully our budget will in increase then.|sd sd sd sd
B|Have you been married for long?|qy
A|No. Just since December.|nn sd
B|Oh, wow. So you guys really are newlyweds.|ba sd
A|Yeah. We're, very newlyweds, but that's the, we, we're together probably for, um, uh, very close for about six months before we got married. So, you know, we lived within, though I had my own house and things, you know, we still, uh, we're still pretty close. I knew her spending habits and they're about the same|b sd % sd % sd sd sd
B|Oh, wow.|ba
A|they haven't changed at all, you know. My mother always said to me, "Tom, now, the best thing to do is be like you're father. Never say a word when you're wife spends money". And I was like, well, that's true my dad never said a word, you know.|sd sd ^q sd
B|Yeah.|b
A|So.|%
B|I actually encourage my wife to spend money sometimes. Because I think, you know, um, I sort of feel guilty, you know, given that she makes twice as much as I do.|sd
A|Yeah.|b
B|So I say if she wants to go out and buy something, I never argue with her, because she's real good at, you know, sort of .|sd
A|I don't argue with her, but I just get all, it must show in my face. Must be like, must be cringes or something, you know,  especially yesterday or this past weekend.|sd sd sd sd
B|Yeah.|b
