B|Okay. Do you, have you ever had to put your children in, child care, Mary Dell?|fo_o_fw_"_by_bc qy
A|Oh yes. I'm an old experienced hand. I started back when it wasn't, stylish to do that at all. My daughter that's seventeen now I worked even when she was a baby.|ny sd sd sd
B|Uh-huh. Oh.|b b
A|And I had private care for both my daughters until they were two and then I was really lucky to have put them in a, Methodist day school at Preston Hollow Methodist, right off  of Walnut Hill and Preston.|sd sd
B|Uh-huh. Uh-huh.|b b
A|And it was a wonderful environment. I, I just wish all kids, if they have to be put in day school, could have that kind of place|sd sd
B|Uh-huh. I see.|b b
A|So, it worked well.|sd
B|Oh.|b
A|How about you?|qo
B|Well, I have, uh, a nine year old and a six year old and neither one of them has ever been in in, uh, day care for the reason of, of me working|sd sd
A|Uh-huh. Uh-huh.|b b
B|but, uh, they both went through preschool.|sd
A|Yeah.|b
B|And, uh, we've just been real lucky  I think, anyway. To not,|sv
A|Uh-huh. It's not hard to find anything that's part-time. So many of the churches have really strong  preschool and children's day out|b sv sv
B|Right, like half day programs. Uh-huh. Uh-huh.|aa ^2 % b
A|but, it was a nightmare back when Cheryl was little and this is one of the few churches that did it. There were a couple downtown Dallas but they were so, seemed, cold and impersonal, I just couldn't hack it.|sd sd sd sv sd
B|Uh-huh.|b
A|And what I liked about Preston Hollow is that the people that were there when Cheryl was two, which was fifteen years ago, many of them are still there today. So there  was real continuity.|sd sd
B|Oh.|b
A|She went back as a teenager and these people that had changed her diapers when she was three were still there.|sd sd
B|Oh, my gosh.|ba
A|So, it, it was really neat. But it was because they had a director that had always done it as a labor of love and  she just kept good people and  real cheerful place, lots of arts and crafts,|sv sd sd
B|Uh-huh. Oh my goodness|b ba
A|and I'm really glad my kids had it because Plano schools do so little of that.  That if they hadn't had it before they hit first grade they were never going to have any art or music or any of the interpretive stuff.|sd
B|Right. Right. Yeah. Uh-huh. Yeah, that is, uh, a big drawback I think in that, in the, uh, public schools out here. You know, to,|aa aa aa aa aa sv
A|Uh-huh.|b
B|you're lucky to have an art teacher and if you do you get them once a week or something, you know.|sv sd
A|Or pay for it after school. Our Emily's in the third grade over at Huffman and they started a pilot program where we can pay private tuition so that they can take French and music and art and   you know, I willingly did it|^2 sd sd sd
B|Oh is that right? I had no idea.|bh sd
A|but I thought, this makes me angry. This is something that ought to be in the schools  rather than some of the other stuff they do.|sd sv
B|Oh my goodness. And with our budget cuts, I'm sure  that's not going to not going to change anytime soon.|ba sv
A|Yeah. Well that's the only way they're. Yeah, well, that's the only way they're going to be able to do it. And parents who really want their kids to have any humanities are going to have to do that.|b sv sv
B|Oh my goodness.|ba
A|So, in some ways I think the, the day schools do serve those purposes.|sv
B|Yeah. That's true. Well even the preschools, you know they get so much of that in preschool and then when they hit kindergarten, you know, it's like wham  Culture shock.|aa aa sv sv
A|Yeah. Yeah.|b b
B|It's just,|%
A|Put the colors away|bf
B|Yeah, yeah. Get the computers out|aa aa ad
A|Which is too bad.|sv
B|and, you know.|%
A|Uh-huh.|b
B|hard.|sv
A|Uh-huh.|b
B|It's so difficult for them. Um, did you have your children, did you say in home, in, in, private care, was that in your home or in someone else's home?|sv qy qy
A|Until they were two. Yeah. Yeah, both times they were at our house.|sd ny ny sd
B|Uh-huh. So you were able to have somebody come there.|b qy^d
