A|So, how do we fix the national budget?|qw
B|Damned if I know. Um, I don't know, I suspect, uh, let's see, I suspect we should do what everyone says we should do, we should cut spending and maybe even raise taxes but Lord knows you one shouldn't say that.|sd sd % ^h sv sv sv
A|Well, That would probably be good, but, something that the government hasn't been looking at is the source of the problem.|arp_nd ba sv
B|Huh.|%
A|The true source of the problem is, a, that we do spend too much,|sv
B|Yes.|b
A|but also, b, that we don't take in enough.|sv
B|Yeah, well, why do you say that actually?|b qw
A|Uh, too few Americans are working.|sv
B|Huh.|%
A|If more Americans were working and meaningful good paying labor,  and paying taxes,  and the tax structure was fair between the lowest and the highest income Americans, then we would have more money there to play with.|sv
B|Yes. Rather than using taxes. Oh, that's interesting. Yeah, that's probably true, I mean, well, we also, we'd be spending less because all the money that, that normally goes to support those people aren't working, it's back in the system.|b ^2 ba b ba sv
A|Right.|b
B|So, you're right. That's a real neat idea. Well, what, but, I mean, what can, you know, at, at some point, what can you do to sort of raise I mean, to raise jobs I wonder.|ba sv % % qw^d
A|Well, I hesitate to say we ought to spend ourselves to affluence but, in fact, in some cases that's what we ought to do.|h sv
B|Oh, okay. So, start .|bk %
A|Not Reaganomics, thank you.|sv
B|But, that's not going to work, uh,|sv
A|Uh, what I was thinking more along the lines of is start going to space.|sd
B|Huh. And that way just create more jobs or whatever?|% qy^d
A|Well, at some point there, there will be enough jobs for most of the able-bodied Americans.|na
B|Huh. well, that's a neat idea.|bk ba
A|We also need to, uh, assure that there's some work in the private sector.|sv
B|Yeah, that's what, that's what, you think space would do that much for that or,|b % qy %
A|I think it would do something for it. I think we would fill up new technologies. But I think we should also do something rather radical.|na sv sv
B|Like what?|qw^d
A|Legalize marijuana.|sd
B|Oh, you think, you think that would, uh, have a major effect? Well, that would put a lot of criminals out of business for a while anyway.|qy sv
A|What?|br
B|that might have a, uh, a good effect on, on, on crime anyway.|sv
A|Yes, uh, okay, I think it would take some of that money out of the hands of criminals. I think it would put, reduce the amount of carry on drug use where people advance from one drug to another.|aa ^h sv sv
B|That's probably true.|ba
A|I think that, I think most importantly it would give the federal government something new that they could tax.|sv
B|And probably a lot of.|sv
A|And probably a lot of and really receive some revenues from.|sv sv
B|Yeah but that's potentially ,|b %
A|Uh, if you look at prohibition historically, it's repeal helped the federal government a lot in tax revenues.|sv
B|Uh-huh, huh. No, I had never thought about that.|b % sd
A|Then I think once we put money back into the in the coffers of the federal government,  and get the federal government to where there's money there again, we should reduce the amount of money,|sv
B|Uh-huh.|b
A|and this would have to come rather quickly, and would have to come originally also where we're not paying, in some cases we do pay more, for welfare recipients to live then they can earn in the true minimum wage environment.|sv sv
B|That's true we do, often times they are paid more, yeah.|ba
A|And you can't deny people the right to supply their families better through whatever means.|sv
B|Right.|b
A|That's just sensible on their part.|sv
B|That's just what on their part, I'm sorry, I missed that.|br fa sd
A|It's just sensible on their parts,  to go after the, the, the greater amount of income.|sv
B|Oh. Uh-huh.|bk b
A|So, if you lower the amount they make and raise the amount of true minimum wage jobs, not those that are affected by the federal minimum wage, then more people will get off welfare.|sv
B|That, that maybe true. That's very true.|b ba
A|You know, give them a true incentive to want to work.|sv
B|Right.|b
A|And then don't start letting more outsiders in for a few years until we figure out exactly where we're at with unemployment.|sv
B|Right, that's a,|b %
A|Reduce immigration,  or eliminate it entirely for a few years, until we get our own house in order.|sv
B|Huh. Yeah, and maybe even reduce, along the same lines, maybe reduce imports as well, I think.|% b sv
A|Oh, absolutely, absolutely. That's right, when we're in a world of hurt, well, I don't, I'm not going to say that we ought to reduce them through legal means. I think we ought to just tax them severely.|aa aa ba sv sv
B|Right, well, that, that's what happened in other country though. And other places they tax us quite I mean, they tax American imports quite heavily. So, we could do the same thing, I mean, just, and, you know, they may get,|b sd sv sv sv % %
A|It seems only fair.|sv
B|Right, it does seem only fair, I mean, why not.|b aa qh
A|And I think really if we got all those that are able-bodied into the work force reduced the amount going out for those purposes, created new jobs for that work force, there would be plenty of money.|sv
B|I think so.|aa
A|And then at that point,  quit spending on space.|sv
B|Yes. Oh real ,|b %
A|Force it all into the, into the private sector.|sv
B|Oh, really I love the switch. Well, at that point you might, we, it wouldn't be a problem anymore possibly, you know, we would be,  we would be able to keep it wherever we wanted to in space or the ocean research whatever we wanted to do,|sd sv sv
A|That's right.|ba
B|but I think the,|%
A|Uh, space was just a convenient place for me to go because that would put a lot of,  a lot of|sd
B|Right.|b
