B|So, uh, let's see what was the topic, I forgot we are supposed to talk,|^h sd sd
A|Advice for people taking for parents, uh, help their kids through college.|sd
B|Yeah, do you have any children?|b qy
A|No, I just graduated from college.|nn sd
B|Oh, did you?|bh
A|Yes.|ny
B|Where did you go?|qw
A|I went to Clarion.|sd
B|Clarion.|bf
A|Uh-huh.|aa
B|Huh, uh, would you, I mean, if you had children, would you want them to go to a certain place or,|qy %
A|Um, I would want them to make that decision and I would, you know,|sd %
B|Yeah.|b
A|uh, I pretty much made my decision on my own and my older brother, likewise.|sd
B|Uh-huh.|b
A|And, uh, you know, we, we were both pretty much happy with what we did.|sd
B|Yeah.|b
A|So, I think, I would not push them towards any one place.|sd
B|Uh-huh. Yeah, I know, I kind of feel the same way I, I just finished college a couple years ago and I, uh, you know, it was while I had my family and everything and it was a lot harder, but, uh, you know, I went to a college that was fairly local and I feel like my education, you know, you get out of it what you put into it, I think.|b aa ba sv sd % sd sd sd sv
A|Uh-huh.|b
B|But, you know, I know, it's, some people are real adamant about, you know, going to a certain school or whatever.|% % sd
A|Uh-huh.|b
B|I do not know, I guess it, a lot of it would depend on maybe what your major was or something, I do not know. But,|h sd h %
A|Yeah, exactly.|aa aa
B|But,|%
A|I think one of the first things kids ought to look for is, first of all, they have to decide what they want to major in. And then, you know, find a school that's good for that.|sd
B|Uh-huh. Yeah. Is that why you picked the school you did or,|b b qy %
A|Well I picked it for a couple of reasons, it was only about an hour and ten minutes away from home, so it was far enough away that I was away, but yet close enough if I ever wanted to go home, I could.|ng
B|Uh-huh. Yeah. Yeah. So you lived there at school then? You lived there at school.|b b b qy qy^d
A|Yeah, I lived up at school.|ny sd
B|Uh-huh.|b
A|Yeah. Uh, another reason was, uh, I paid for my entire education. So I had to look for something that I could afford economically.|b sd
B|Uh-huh. Right.|b b
A|You know, and, uh, Clarion was, oh, it was roughly around six thousand a year.|sd
B|Uh-huh. And that was for tuition and,|b sd %
A|Yeah, that was for everything. And now, I did not go out a lot and I did not order out a lot,|b sd sd sd
B|Uh-huh.|b
A|and I, you know, I did not spend money on myself.|sd
B|Uh-huh.|b
A|But, uh, then again, I was there for school so,|sd %
B|Yeah.|b
A|Uh, and then another reason was I was not sure, you know, I always wanted to go to school for nursing, and then at the last minute, I changed my mind.|sd sd
B|Uh-huh.|b
A|And I knew that Clarion was known, you know, for two things, actually, for their, they are known as a teacher's school and also for their business.|sd % sd
B|Uh-huh.|b
A|So, that's what I ended up going for is for business.|sd
B|For business.|bf
A|Uh-huh.|aa
B|So, uh, are you working somewhere then or,|qy %
A|No, no not yet, I am moving shortly, so I am not looking around here.|nn nn sd sd sd
B|Oh, I see, where are you going to move to?|bk qw
A|Uh, Maryland.|sd
B|Oh, are you?|bh
A|Uh-huh.|ny
B|Do you have friends there or,|qy %
A|My fiancee is down there|sd
B|Oh, I see. So, does he work for a company down there?|bk qy
A|Yeah, he works for the government.|ny sd
B|Oh, I see. Oh, the big company.|bk bf
A|Yeah|aa
B|So, yeah, I, I have been working for T I for about twelve years, I guess. So,|b sd %
A|Uh-huh.|b
B|But I am not originally, I am originally from Illinois, but, you know, I have gone to college, I guess a few different places, but I think, you know, for the most part, you know, the teachers have been pretty good and I have got out of it what I have, what I have put into it.|sd sd
A|Uh-huh.|b
B|So, but, you know, I think, I think that's most of it personally, but that's why I, you know, with my kids, I think that, you know, I am just going to encourage them to go. And I am going to try to help them financially but, uh, I think, you know, financially, I am, there's only so much I can do for them,|sd sd sd sd sd
A|Exactly.|aa
B|and I will say, here's what you have got, you can either, you know, go a couple of years locally and, you know, then if you want to move off to a more expensive school then, we might be able to handle it. But, otherwise, you can just go for four years, you know, somewhere and I will try to, try to help you. But, uh, I do not know, you know, the financial end of it, like you said.|sd ^q
A|Uh-huh.|b
B|I put my wife through school too. Of course T I paid for a lot of the tuition and books and stuff, but, uh, it still was a challenge to do. And, uh, so, I think, you know, financially that's, that's one of the big aspects.|sd sd sd
A|Exactly, yeah.|aa b
B|You know, you,|%
A|It does have a lot of bearing on it, whether you are paying for yourself, or whether your parents are, you know.|sv
B|Right. Yeah. Well, did you, uh, since you were paid for school yourself, do you think you had a different outlook on it, like your grades and things like that?|b b qy
A|Uh, yeah, because I was paying for it myself, I kind of slacked off, because I felt it was mine and I could do with it what I wanted.|ny sd sd
B|Uh-huh.|b
A|I think if my parents would have paid for it they would have been on me, you know,|sd
B|Uh-huh.|b
A|uh, they pretty much got to the point, well, well, you know, you are at that age and you are going to have to decide what you want to do. If you goof, up, it's your fault,|sd ^q ^q ^q
B|Right.|b
A|it's not ours, you know.|^q
B|Right.|b
A|And then, lets me go and, I mean, I did not do poorly. I finished with a two five, that's not that wonderful either.|% sd sd sv
B|Uh-huh, yeah.|b b
A|But, uh, you know, I, I mean I worked, I did not, you know, goof around,|sd sd
B|Yeah.|b
A|I worked.|sd
B|Right.|b
A|It was just harder, you know, I do not know, I was used to being, you know, on top and when I started there, it was like, you are mediocre, so.|sd h sd sd %
B|Yeah. Well see, I think, you know, I have known a lot of people that would go to school and their parents paid for it and, and I guess it depends on the way you are raised too, but if you, if you grow to expect that, you know, you kind of go there as sort of a vacation, you know,|b % sd sd sv
A|Uh-huh. Yeah.|b b
B|I, that's the way a lot of my friends did it and, you know, they were not, they did not take it very serious. I know I took it real serious, 'cause I did not start to college until, you know, I was about eight or ten years and, uh, you know, out of what I should have been in school.|% sd sd sd sd
A|Uh-huh.|b
B|But, uh, you know, so I think that helped me be real serious about it. And I, I ended up graduating with like a three point six.|sd sd
A|Oh, wow, that's really good.|ba sv
B|Yeah, so I, you know, and that was hard cause I had two kids, and, you know, a family and everything else,|b % sd
A|Uh-huh.|b
B|so I had a lot of different hats to wear all at the same time. But,|sd %
A|Yeah. See, well I screwed myself up also, there was a point in time that I decided that I did not want to in school, and my parents never pushed me until my dad just said, what are you going to do and I said, well I am going to go because I have not whipping butter the rest of my life, you know.|b sd sd sd sd
B|Yeah, you are right, exactly.|aa ba aa
A|So, I went and I just took business,|sd
B|Uh-huh.|b
A|well, being as I was paying for it myself, you know, I just kept, you do not get into your major until like your second or third year.|sd sd
B|Right.|b
A|And I am going into my third year and I decided, well I do not want to do accounting anymore, right|sd sd %
B|Uh-huh.|b
A|and I thought, oh, my God, I am paying for this myself, I am not switching completely because, I will put myself a year behind.|sd sd
B|Right. Yeah.|b b
