A|Tell me what books you read.|ad
B|Oh, boy Well, um, I haven't been doing a whole lot of reading for enjoyment lately. I read, uh, one book a friend recommended to me. I can't even remember the guy's name. It was a science fiction, Dean Cole, or something like that. And it was so frightening and it had so much violence in it I just  could hardly stand it|ba sd sd sd sd sd sd sd
A|Um. I try to avoid the,|% sd
B|Yeah I didn't think it was so great. She thought it was riveting, you know, but, I couldn't deal with that. But, um, mostly I read, I'm a marriage and family counselor and mostly I read things to do with raising kids, and now I have two little kids,|b sv sd sd sd sd sd sd
A|Uh-huh.|b
B|or co-dependency, or, you know, fifty thousand things like John Bradshaw's books on, uh, THE FAMILY and HOMECOMING and INNER CHILD, and so|sd
A|Uh-huh.|b
B|I read usually that kind of stuff. If, and right now I'm reading, um, Judith Viorst's book called NECESSARY LOSSES, where she talks about different losses that we've had in our lives that we have to get past if we're going to mature and so,|sd % sd
A|Uh-huh.|b
B|in in my spare time with a two and a half and a three and a half year old  I, I read|sd
A|That does cut into your,  reading time a lot.|sv
B|Yeah. That's really changed my reading habits, because I used to read so much, especially when I was in school.|b sd
A|Yeah.|b
B|You know, but, gosh it's, uh, it's getting pathetic now If,  I get through a magazine, I've been,|sv sd
A|Well my,  my kids are up, and out of the house now. So, you know, I will, uh, encourage you that you do get a little more time to yourself later on|sd sd
B|Yeah.|b
A|I,  won't say what.|sd
B|Later you're,  probably looking for your kids so you can talk to them when they're out running around with friends|sv sv
A|Yeah.|b
B|Yeah. What do you read?|b qw
A|Oh, uh, well, I read for a living. Uh,  I'm an editor.|sd sd
B|You do? Who, Oh, well how interesting.|br % ba
A|And  so, I, I'm at the|sd
B|What kind of books?|qw
A|Center for Advanced Study of the Behavioral Sciences and therefore, I read, uh, psychology, sociology, anthropology, political science, philosophy, linguistics, history, uh,|sd
B|Um. Oh, my goodness.|% ba
A|yeah, and you name it. I've read some of it.|b ad sv
B|Yeah. Well that sounds like a fascinating job.|b sv
A|It really is. It's,  it's a great place to be|aa sv
B|Yeah.|b
A|and the, uh, it's nice to work with people uh, who are not required to use your services, and so therefore, are grateful and not arguing with you about them. If they don't, want an editor, they don't come|% sv sd
B|Yeah. That's true. That's true. Well, you probably, I, I seem to remember that, uh, little byline on a lot of things I've read.|b aa aa sv sv
A|Um.|%
B|Um, is, is, is that, um, do they have a mail kind of campaign that they send to professionals in the,  social,|qy qy
A|No. We, don't.|nn sd
B|No?|br
A|Uh, normally we don't publish, uh, things under our own imprint.|sd
B|Um.|%
A|Uh, we have books that are written here that are then published by all sorts of different, uh, commercial and academic publishers and university presses.|sd
B|That sounds so familiar. Uh-huh.|sv b
A|So, uh, I end up sometimes reading the things that are written here all the way through, sometimes just a few chapters because that's as far as they get|sd
B|Yeah.|b
A|But, I also get, of course, lots of references to neat stuff to read about.|sd
B|Yeah.|b
A|So, I'm, uh, I was just thinking when they told me the topic, I should just, I should read the, uh, titles of the five books that are sitting on my desk right now that I'm in the middle of.|sd
B|Yeah. Oh,  that sounds interesting. Yeah. Oh|b ba b b
A|it causes the, uh, uh  Saint Anthony's Fire Disease, where,  people fell into fits|sd
B|I thought that was going to be Oh.|sv b
A|and, There is a, a theory, at least, that a lot of people who were accused of witchcraft were actually under the influence of erga.|sd
B|Oh, my goodness. Huh.|ba %
A|And a book called JOB CUES, GENDER CUES, which explains, uh, how certain professions and vocations get, uh, flip flopped from one gender predominance to the other, like uh, nursing,  started out all men and then in the nineteenth century, began to have women.|sd sd
B|Uh-huh. Nursing or,|b b^m %
A|And now it's practically all women.|sd
B|Yeah.|b
A|And that, uh ,|%
B|Secretaries. I bet that used to be mostly men who were secretaries of any type for business.|^2 sv
A|That's right. And the,  thing that changed that was the manual typewriter.|aa sd
B|Yeah.|b
A|It then it became, you see, just sort of a clerical task.|sv
B|Oh. Yeah.|b b
A|When you wrote it out in long hand you were a,|sd
B|Then you were important|^2
A|Yes. You were a confidential assistant to the, person.|aa sd
B|Yeah. Yeah. Like the scribes who did the old documents, you know, for churches and,|b b bf
A|Right.|aa
B|yeah|%
A|And then, I've got a book called FASHIONS IN SCIENCE, which is a sociology that explains, uh, why certain theories get to be popular in, uh, sociology. And, uh, how difficult it is to swim against the tide if you have a different idea that isn't vatted by your peers|sd
B|Well, that's interesting. Uh-huh.|sv b
A|And then I have one novel that's called FIRST LIGHT, that's about, uh, archaeology  the British novel.|sd sd
B|Um.|%
A|So, it's really quite interesting. I haven't,  got too, far into it yet.|sv sd
B|Gosh. Really. So, are you reading these in the form of just like printed manuscripts,  that have not been|ba b qy
A|Uh, those are,  all books that are out, uh, published and bound now. But, they're just things, that, , pertain to various things I'm working on or were, uh, mentioned prominently and attracted my curiosity.|ng sd
B|Huh.|%
A|So I got them out of the library and decided I'd read some more in them.|sd
B|Yeah. My goodness. Well, that's fascinating. Gosh.|b ba ba ba
A|So, I read a lot of history and, uh, a few novels, occasional mystery stories, just,  for fun.|sd
B|Uh-huh. Yeah. Yeah I never have gotten into any of the romantic novels or any of that kind of stuff. My husband reads a lot of the, um, well, he did before we had kids  the STAR TREK, and all those kind of sci-fi kinds of, things, you know|b b b sd sd sd
A|Uh-huh. Oh, yeah. Yeah.|b b b
B|But, he's got a, quite a collection of those. But, uh, my stuff uh, revolves around, uh, one one let's see, I've got one called ONE THOUSAND PRACTICAL PARENTING TIPS,  which teaches you to put elastic instead of shoelaces, in your kid's shoes|sd sd sd
A|Oh, hey. That's, a nifty idea.|ba sv
B|Hey, I've done that to every pair my three year old has.|ba sd
A|Great.|ba
B|You know, really.|b
A|Oh, I think the,  the boom to parents and the, the shoelace department was those little Velcro tabs|sv
B|And, uh, Oh, yeah. Yeah,|% b b
A|I think that's incredibly .|sv
B|but there's a surprising number that are still around that aren't, that don't have those, so that's an alternate means of dealing with|sv sd
A|Uh-huh.|b
B|but, um, I'm trying to think of what else I've got. Uh, since I'm, um, a therapist and all, I've done recently a lot of research into some of the twelve step groups. So, I've got all the different alcoholics, what they call the blue, the blue book, the big book, and all the O A literature and all the CODA literature,|h sd sd
A|Yeah.|b
B|so I'm trying to get more familiarized with that because I refer clients and different groups and, uh, well, let's see I'm trying to think of the,|sd ^h
