A|Okay, well, I I mean, what thoughts do you have on the subject?|fo_o_fw_"_by_bc % qo
B|Uh, you know, we even lived there for a, a while when my husband was in the Navy.|sd
A|Oh, you did?|qy^d
B|In fact the first year we were married, he was already over there, had been there two years when we got married and so our,  we had a one year honeymoon.|sd sd
A|Uh-huh. Uh-huh.|b b
B|Uh, Uh, it was very nice, um.|sv
A|That's wonderful. Well do you have, you probably have a different sense than I have. I went to an inner city high school in Chicago.|ba sv sd
B|Uh-huh.|b
A|Um, and that's not where I am originally from. It was a divorce situation of my parents.|sd sd
B|Uh-huh.|b
A|And it was a, a cultural shock to me.  Uh, in terms of what I went through.|sd
B|I'm sure.|ba
A|The high school is now called, in fact, it was called Tulley High School and now it's called Roberto Clemente|sd sd
B|Roberto died while we were down there as a matter of fact.|sd
A|That, yeah, that's exactly, about twenty years now.|sd
B|Yeah.|b
A|Uh, what was it like living there, I mean did you find that people appreciated having the privilege of being,|qo qy
B|It's like anywhere else. People are individuals and I find it really difficult an, and, frustrated trying to make stereotypes, you know.|sv sv sd
A|Right, I agree with that, yeah.|aa sd %
B|And, uh, I can understand the, the frustration you must have gone through, uh, going to the, the school, uh.|sd
A|I didn't mean that in a totally negative sense.|sd
B|No, no, it's just, if, if it's not part of your culture,  and you come upon something that you're totally unprepared for,  uh, the|aa aa % sd
A|Right. Uh-huh.|b b
B|I had gone to a very, uh, uh, um, conservative, uh, college and when I started teaching school it was in an inner city situation,  although it was not Puerto Rican, it was, uh, a Mexican American and black students.|sd sd
A|Uh-huh.|b
B|They weren't like any of the Mexican American or black people I had gone to school with so it was,  it was very, very, different.|sd sd
A|Right, that you had ever been. Right, I mean, I'll give you and idea that I had, um, and I would say, I would say the ones, the majority appreciated what they were having in this country.|b bf b sd sv
B|Yeah.|b
A|Uh, but a lot of the ones that didn't even in the minority, not in the sense of the cultural world, word, they made it worse for the other kids in school. And, you know, Chicago, back then, even had bilingual classes.|sd sd
B|Oh, really.|bh
A|Yeah, and I mean, I had geometry, the teacher was from Cypress Greece and,  it was, Spanish and English,|ny sd sd sd
B|Huh.|%
A|so if you can imagine how I even|sd
B|Oh, my.|ba
A|And, I mean, and I guess I look at is as an enlightening sense.|sv
B|Yeah.|b
A|Um, but I think basically, I think they should leave things the way they are right now, I mean, I don't really have enough in terms of an argument, pro or con in terms of making any type of change.|sv sd
B|I'm not, so much against their making, uh, it a state.|sd
A|Uh-huh.|b
B|But I would want a very, very, very clear majority, because if the minority can be so, vociferous, whether you're talking this group, or, or,  any other group that, that has a stake in something.|sd sv
A|Uh-huh. Right, that's exactly.|b aa aa
B|And they can make, as you said, uh, so well, the, a, a few can make it so miserable for everybody else.|sv
A|And that's exactly, I mean, I can remember instances that, uh, wasn't as, uh, you know, bad, Lord, I don't know how it would be today. Well I know what it looks like, I've been back up for a reunion.|aa sd h sd sd
B|That, that my give you a clue.|sv
A|It does, yeah, um, but its', but it's an experience I wouldn't change, I mean my husband, um, grew up in, um, a majority, uh, WASP, southern Ohio, you know.|sd aa sd sd
B|Uh-huh.|b
A|So that, um, when he saw where I, you know, saw my later teenage years, he was just, I hate to say aghast, because that sounds so trite, but he was. And yet, how did I turn out the way I did turn out.|% sd sd qh
B|Yeah,|b
A|And I said that's really irrelevant. What you find is that, um, if you can talk to like, I mean, I learned a lot about the, um, Island of Puerto Rico from talking to these kids. You know, and you lived there so you know that parts of it are beautiful and parts of it are squalor.|sd sv sd sd sv
B|Same as, as any other part of the world,|sv
A|Like here, yeah,  it's the same.|aa
B|really. I, I don't, I don't think it's really to their best interests,  to, uh, uh, attain statehood as it is right now,|b sv
A|Uh-huh.|b
B|they have the best of both worlds. They have, uh, representation,|sv sd
A|Uh-huh.|b
B|but they don't have to pay all the taxes and so forth that we do.|sd
A|This is true.|aa
B|Uh, being that it's an island economy, um, everything is imported and yes, the cost of living is super high, but, but they're protected in so many ways without having to, to pay for the rights and privileges.|sd sd sv sv
A|Uh-huh, I know what you're saying, yeah,|b sd %
