A|Okay.|fo_o_fw_"_by_bc
B|The topic is to discuss the, uh, sources where I receive news.|sd
A|Uh-huh.|b
B|And, uh, for me that's mostly newspaper and radio, I almost never watch television, as a matter of course so, I don't get news from television, except during the war, I watched a lot of C N N because it was so good.|sd sd sd sd
A|Uh-huh. Well, why was C N N the only, of course I think, Saddam Hussein only allowed C N N to broadcast it, is that not true?|b qw sv qy
B|Um.|%
A|It was unusual not to have the different sources, you know, of news coverage.|sv
B|Yeah. Um, I don't know. I guess, uh, I don't even know why I watched C N N. I guess, I just wanted more news. It's one of the few times I wanted more news than.|b h sd sd sd
A|Yeah, well, I know even if you watched A B C, N B C or the other, I mean, what's the other one, uh, C B S.|b sd qh
B|C B S.|b^m
A|They all were, were tapped into C N N.|sd
B|Were they?|qy
A|Uh-uh.|nn
B|Yeah.|b
A|That's the only thing they broadcast and like you I listened to radio on my job at work.|sd sd
B|Uh-huh.|b
A|And all this week they have been having this, uh, a discussion about that is why, uh, why C N N was well, I listen to a Christian radio station.|sd sd
B|Uh-huh.|b
A|And they were saying that C N N is definitely a world, uh, news service and, uh, they, it was, you can't really be sure of the quality of what you've got, you know.|sd % % sv
B|Huh.|%
A|Uh, we had some, uh, some people from our church went to Israel, uh, just for a, uh, tour sort of thing.|sd
B|Uh-huh.|b
A|And I was watching on TV they, they broadcast this terrible riot supposedly that was going on in Jerusalem,|sd sd sd
B|Right.|b
A|and so it really made me question as to what, how do we know, you know, uh, if the news we're getting is any good. So|sd %
B|Yeah, I guess, the news just focuses on major events that probably, don't affect ninety-nine percent of the people who are right there when the news is being made.|aa sv
A|Yeah. Right, right.|b aa aa
B|But, uh, I, I'm from California and I can remember being in, uh, in these earthquakes and, I mean they were, they were very minor kinds of things from my point of view, and it seemed, you know, from anyone else's point of view,|sd sd sd
A|Yeah.|b
B|but they get all blown up in the news. Um,|sd
A|Uh-huh Well I, I find it depressing to watch our, specially TV, you know, it's just, uh, local news concentrates, on murders and things like that. I'm from Dallas and, uh, we have a lot of bad stuff, uh, it just really gets me depressed, even to watch it.|b sd sd % sd sd sd sd
B|Uh-huh. Uh-huh. Yeah.|b b b
A|So then, you wake up one morning and you are in war with somebody you don't even, even know about it.|sv sv sv
B|Right.|b
A|So.|%
B|Well, what newspapers, uh, do you read in Dallas?|qw
A|Uh, we have the DALLAS TIMES HERALD and the DALLAS MORNING NEWS, but I don't, I don't read newspapers|sd sd
B|Don't you?|qy
A|Huh-uh.|nn
B|How come?|qw
A|Uh-huh. I find it hard to, uh, follow from one page to another. It's just something I have never developed, uh, an interest in.|fo_o_fw_"_by_bc sd sd
B|Huh.|%
A|And I live in kind of a bad area where if I have the paper delivered it's stolen before I can get out and get it|sd
B|Gosh that's, that sounds pretty bad to me. I mean who would steal a newspaper?|sv qw
A|You would be surprised.|sd
B|Huh?|br
A|They just come by and pick them up even if it's just for the TV, you know uh, selections of the day.|sd
B|I see.|bk
A|I don't know. It just wouldn't be there whenever I tried it.|h sd
B|Yeah.|b
A|So, you're right, who would steal a newspaper? in glass sound in But, they do.|sv qh sd
B|Yeah.|b
A|What part of California are you from?|qw
B|Uh, from Los Angeles, but I live in Raleigh, North Carolina, right now, that's where I am speaking to you from.|sd sd sd
A|Oh, okay.|bk
B|But, I grew up in L A. I work out here.|sd sd
A|Huh, you work for T I?|qy^d
B|No, I don't. I work for North Carolina State University.|nn sd sd
A|Huh.|%
B|But, uh, I know some people at T I, and I have a couple of students who have graduated and gone to work for them.|sd sd
A|Yeah.|b
B|So, I'm in the computer business.|sd
A|Well, I, boy, current events is not a good subject for me.|% sd
B|Well.|%
A|I don't keep up with it that often.|sd
B|Let's see, I've, I've, I've never done this before, I mean I've never.|sd sd
A|This is your first call?|qy
B|This is my first call. Because I just got my password.|na
A|Oh, really. Yeah.|b %
B|So I don't know, are we suppose to, it seems to me it says you are suppose to talk for three minutes, but I think we've been talking for three minutes and nobody has interrupted.|h qy sd sd sd
A|Yeah, well I, I got into a conversation last night with a lady and they interrupt at ten, minutes.|b sd sd
B|I see.|bk
A|So if we've done our three minutes. Let's just let the conversation end and say bye.|ad
B|Uh-huh. Well, all right. Nice talking to you.|b aa fc
A|Nice talking to you too.|fc
B|All right, bye.|fc fc
A|Bye-bye.|fc
