A|Hi. How are you doing?|fp fp
B|What, I couldn't hear you?|br sd
A|I said, how are you doing?|fp
B|I'm doing fine. I'm, uh, just editing a spreadsheet right now. I'm trying to figure out how I can retire without having to work until I'm ninety-five.|fp sd sd
A|Yeah. We've been doing that too We're trying to retire in our fifties.|b sd sd
B|Yeah. This is a very appropriate topic for our, uh, conversation today because what I'm figuring out is that I'm going to have to put in a lot more money than what I'm making|b sd
A|Good luck on that one, then.|fo_o_fw_"_by_bc
B|What is that?|br
A|I said good luck on that one, then.|sd
B|Well, we've got a pretty good situation, my wife and I, since our property is already paid for. You know, the main things that I like about the uh, in the job benefits would be the, uh, the availability of the health insurance and the availability of, uh, you know, being able to transfer around, inside the organization without having, you know, when they cut off a system and they don't just can everybody that is working on it, like some companies I know of.|sv sd
A|Huh-uh.|b
B|You know, they give you an opportunity to either transfer into an on going, on going project.|sd
A|So you work for it T I then You can't say?|qy^d qy^d
B|Yeah.|ny
A|Yeah.|b^m
B|What?|br
A|Yes, you do. Well, I work for D I S D and I don't know what your talking about when you say health insurance, but Dallas doesn't pay. It pays most of mine, you know, now, after you work I think five years, they begin to pay most of it. But then, for the, the family, you know, I put my kids on my policy. It's like two hundred dollars|ny sd sd sd sd sd sd sd sd
B|Huh-uh.|b
A|and it's gone up quite a bit and they predict, you know, of course, it's going to keep going up. I wish they could go on and pay for all of our coverage, at some point. And benefits, you know, I'd like to see child care paid for or on-site child care sometime. I think that would be a ,|sd sd sd sd sd sd
B|Huh-uh.|b
A|and it would make women go to work sometime if they knew their kids were being taken care of. They could go visit them during the day. What?|sv sd ^g
B|Yeah that's uh, something I hadn't really thought about because we don't have children. But, I can see how it would be a a real benefit. Yes I do.|b sd sd ny sd
A|Well, we keep a shelter, also monies that we're going to pay in for child care too. You know, go on and pay a lump sum and as long as you pay that amount you're okay. But if you paid in more than you actually used, and the same thing for insurance, what you predict your going to be paying for insurance, as long as you pay, actually pay out that amount of money, you're okay. But if you pay out less, then you lose that money.|sd sd sd sd sd
B|Um.|%
A|I don't like that part, but you don't have to do that option if you don't want to.|sd sd
B|Well, that could be, I could see where that would be important.|sd
A|And then we got that cafeteria plan, do you have that?|sd qy
B|No.|nn
A|No.|b^m
B|I don't know what it's about .|sd
A|You can, uh, well you, let's see, it, it shelters you're money that you pay for, for insurance. It takes it out of your salary before taxes.|% % sd sd
B|Oh, okay. Yeah, yeah we got that.|b ny ny sd
A|Okay.|b
B|Pretax insurance?|bf
A|Yeah.|aa
B|Yeah.|b^m
A|But we call it the cafeteria plan, I wonder why.|sd sd
B|Um?|br
A|I said, I wonder why.|sd
B|Oh, it's probably what the first guy who did it, called it.|sv
A|Cafeteria?|fo_o_fw_"_by_bc
B|Yeah. He was probably in the cafeteria when he thought of it|b sv
A|Maybe so. Let's see what else can we do? Changes,|aap_am qo %
B|I'll tell you what we could do.|sd
A|What?|qw
B|We could prohibit people from being hired that are historically going to cost the company money. You know, do a little bit better research on who gets hired|sd
A|Uh-huh.|b
B|Because you know,|%
A|You mean, like for health insurance?|bf
B|Well, not only just health insurance, I mean for the whole benefit of the company. See, I look at it this way. If the company folds, I got to go find a job.|aap_am sd
A|Yeah.|b
B|Okay. Now, if we got somebody in a position to affect the way the company performs, just about anybody in the company, and they're not doing their job or they're not capable of doing their job, then we should find a place to put them or you know, boot them out.|b sv
A|Well, that's easier done in a company than it is in, uh, school teaching.|sv
B|Well, frankly, I think school teachers ought to get about ten times what they're getting paid.|sv
A|Thank you|ba
B|What?|br
A|I said, thank you.|sd
B|Oh.|b
A|We're both school teachers.|sd
B|Oh, I'm, I'm,|%
A|But it's hard to get rid of a teacher if they're not good.|sd
B|I know.|sd
A|It's almost impossible.|sd
B|Well, there's two schools of thought on that. You know, I, I'm looking at trying to get into a university job position as a a professor|sd sd
A|Huh-uh.|b
B|I got about eight years of education ahead of me before I can do that|sd
A|Um.|%
B|but, once you get that job with the university, you've got ten years of probation.|sd
A|Huh-uh.|b
B|Then you have tenure. And they can't fire you.|sd sd
A|Huh-uh.|b
B|Well, you know, in a situation like that, I don't know if that's good or bad. I do know that I've had tenured professors that were just sorry.|sd sd
A|Right.|b
B|And I've also had tenured professors that were the best things on two legs.|sd
A|Well, they did away with tenure in teaching along time ago, you know, in the public schools.|sd
B|But in addition.|%
A|It makes you more at ease. You know, you knew you weren't going to lose your job unless you really did something horrendous.|sd sd
B|Well, they, they really can't fire you without cause, you know the governments taken care of that, but, um, what I'm looking at is, you know, there are a lot of teachers that aren't getting paid what they need to be getting paid, and there are some teachers out there that aren't worth having around as janitors.|sd sd sv sv
A|Right.|b
B|You know, and I could see a point protecting someone's position, but, on the other hand, I don't think it, you know, that someone that teaches, uh, say shop, for instance, should have to have degree at all.|sd sv
A|Well they don't.|sd
B|Well.|%
A|In some places they don't.|sd
B|In some places that don't.|sd
A|Do they?|qy
