A|Well, what's your views on it?|qo
B|I think it's, uh, a good idea. Um, I grew up, uh, my teenage years were spent during the sixties, graduating, uh, high school in sixty-eight. Um, I remember when the Peace Corps movement first came about, and I thought it was a very good idea at the time. I was one of those, uh, Kennedy children, if you know what I mean.|sv sd sd sd sd sd
A|Uh-huh.|b
B|And, uh, right now I see a lot of kids who get out of school, have no idea what they want to do.|sd
A|Yeah.|b
B|And there's a lot of things out there that we could do, uh, for our own country,|sv
A|Sure.|b
B|let alone other countries,|fo_o_fw_"_by_bc
A|Sure.|b
B|and I think that we've got the, the people power to do it, it's just, uh, we need to channel it and focus it on some things that, that need some fixing up. Um, some examples are this, uh, some of the things, like Jimmy Carter's been involved in, uh, a little program to, you know, fix up housing for people.|sv % sv sd
A|Yeah. Uh-huh.|b b
B|And there's a lot of housing,|sd
A|Yeah.|b
B|I know in the area that I live in, that's run down and beat up, but it could be fixed up and used,|sd sd
A|Uh-huh.|b
B|and it's just, you know, sitting there wasting away.|sd
A|Yeah, we're not too far behind I graduated in seventy-one, so I'm, I'm same generation. I, I'm, it's going to be a short conversation because I agree with you. I, I think, uh, I don't, I don't even think it ought to be, uh, voluntary, I think it ought to be mandatory. Uh, for kids to either, either do military service, or public service, one of the two. Uh, a lot of reasons for that, not, not just because I'm a, I'm a hard ass or anything.|aa sv sd sd % sd sv sv sv
B|Uh-huh.|b
A|It's just that, like you say, kids are getting out of high school not knowing what in the heck they're going to do, and either the military or public service organization can give them a lot of focus. And, I think that it might stop us some problems later on. I mean, you know these kids will get their, their heads on straight, and, and figure out what they want to do, instead of hanging around street corners selling drugs or something. Uh, it's, I think it would be good for them, uh, it helps mature them a little bit, and helps them understand the world, the way it really is.|sv sv sv sv sv sv
B|Yeah, I think a lot of people grow up with, uh, with, uh, preconceived notions what the world's about.|b sv
A|Oh, yeah.|b
B|A lot of it has to do from too much T V,|sv
A|Oh, yeah, yeah.|b b
B|and, uh, you know, it's, there's, there's a heck of a lot of difference between, you know, the intake that you get from T V and, and movies, and what you hear in school, and then what reality is.|sv
A|Uh-huh.|b
B|Uh, I remember, uh, I've, I've worked since I was, well, I started delivering papers when I was ten, and I had a real job when I was thirteen, so I've, you know, worked most of my life. But I remember when I got out of high school, all through high school was, boy, I can't wait to get out of high school, I can't wait to get out of high school. And I wanted to go to college, and I had the grades to go to college, and I got accepted to college, but when I got out of high school, I kind of said, you know, what am I going to do now?|sd sd sd sd sd ^q ^q sd sd sd sd
A|Uh-huh.|b
B|You know, it's like, you know, when I actually started working full time, and I, I got married shortly after getting out of high school. I, uh, thought I was smart, ran away and got married, and, uh, I remember there was a time, and within the first year of marriage, I said, boy wouldn't I give to get, be back in school, and just have to do homework, and, and go work my part time job.|% sd sd sd
A|Uh-huh. Yeah.|b b
B|Because, life, and the reality of working for a living, and trying to make ends meet, is just so overwhelming to someone, if they aren't prepared for it.|sv
A|Yeah. And, and most of them aren't.|b sv
B|That's true.|aa
A|I mean, you look, you look at the number of marriages that are occurring right I mean, even in high school, and, you know, you wonder, where are the parents in all of this. You know, why isn't somebody stepping in and, and putting a stop to this. Kids in high school are just too young to be married.|ad sd ^q sv
B|Yeah.|b
A|They they have no idea what the world is like. They don't how tough it is out there to make a living.|sv sv
B|Yeah, a,|b %
A|Uh, I mean, I was in the same boat when I left high school. I, my parents wanted me to go straight to college and I didn't. You know, I was ready, I was ready, I had wanderlust, I wanted to get out and see some things. So, I joined the Air Force and ended up staying there for thirteen years.|sd sd sd sd sd sd sd sd
B|Um.|%
A|Um, but, I had lived in my own little bubble up until that time, and, and after traveling around the world a few times, I realized that, things ain't the way they seem.|sd sd
B|Yeah.|b
A|And I, I did a lot of growing up there, uh,|sd
B|Yeah, I think once, once kids get out and see how other people really live, and know how bad off some people really are, and how good they've got it, and what it takes to have that good life, if you're willing to work for it, then they're probably be more inclined to work for it.|b sv
A|Uh-huh. Yeah. That's right That's right. Uh-huh. Well, you know, it's just like you say, there's so much stuff that needs to be done here in this country, and, uh, you know, if, if you could have a thought of something like, uh, like a, uh, uh, a Peace Corps sort of organization. I mean, this would be so useful, just in, uh, for instance, just helping old folks.|b b ba ba b sv sv
B|Uh-huh, exactly.|aa aa
A|You know, they, you know they need help, they don't have anybody to depend on, and it would be nice to have somebody come over and cut their yard or paint their house, or do minor repairs, or something like that.|sv sv sv
B|You know, I've, I've I, my, my parents are in their late sixties now, and, um, so many of the people that live around them are unable to do those things for themselves anymore.|% sd sd
A|Yeah.|b
B|And, it's, it's really hard on them, and the, you know, the thought that I, I see the, uh, the mall rats, you know, walking around the mall, nothing better to do than just walk around the mall all day long, when they could be doing something to help someone.|sd sv
A|Uh-huh. Yeah.|b b
B|And, uh, you know, there's a, uh, a nice warm feeling, I remember getting out of doing things like that when I was younger,|sv sd
A|Yeah.|b
B|I mean, I was a Boy Scout and the whole bit and,|sd sd
A|Yeah, my mom's in the same position, late sixties, and, and it got to the, got to the point where, I mean, me and my brother both were, were gone, and she couldn't maintain the house, without large expenditures of money.|b sd sd
B|Yeah.|b
A|You know, it finally got to a point where she just had to sell it and move into an apartment. And, uh, I, I'm not, I'm not saying that that wouldn't have happened anyway, but it would have been nice if there had been somebody to come around and take care of the little things. You know, like the, like the yard work and little repairs, and painting and stuff like that.|sd sd sv
