A|So I own a, a P C A T at my home.|fo_o_fw_"_by_bc
B|Uh-huh, I could never justify owning a personal computer at home, uh, I mean, that's quite an expense to look for, uh, well, who is this, what do you use yours at home for?|b sd sv qw qo
A|Well, that's actually a good question. My wife works out of the home, our home. She has an office and in fact she sits in the office and she uses it to compose and print out letters.|arp_nd sd sd sd sd
B|Okay, well now.|bk %
A|So that's a very regular use of it that she has.|sd
B|Uh-huh.|b
A|And in addition to that I tinker around with it. I'm a computer scientist.|sd sd
B|Oh.|bk
A|And so I write programs to do little things I'm actually working on a data base at home just to keep track of things nothing special. And also I'm interested in writing some programs that will kind of like remind me of things like remind me that Wednesdays is trash day and the like.|sd sd sd
B|Uh, huh, well, excuse me, I, uh, uh, well I'm a technician, electronics tech. Years ago T I sent me to their, uh, computer school down in Austin.|sd sd
A|Uh-huh.|b
B|So, uh, I learned to repair one but you know I never really learned to operate one.|sd sd
A|Oh, that's a key thing. Well, actually that's a, there's really two issues to that that there's so many software packages available today. That just require no programming.|sv % sv
B|Yes.|aa
A|So that in other words when someone built that software packet they had to use the programming but if they were careful, they could make the use of it totally without understanding how the computer works.|% sv sv
B|Uh-huh.|b
A|But I think you you really hit the nail on the head. For the average person is exactly what he can use it for. And if your wife isn't working out of the home and sending letters or if you don't want to build a data base to keep track of the nuts and bolts in your garage, whatever there, your issue is then there really,|sv sv sv sv sv sv
B|Well, uh, space is a handicap with me, I live in a motor home.|sd sd
A|Oh, I see well.|b %
B|And I'm preparing for retirement.|sd
A|I see well, congratulations on that.|b ba
B|And I'm not to far from it another year and a half.|sd
A|Yeah, well, actually one other thing I might ought to mention is that they are actually getting quite cheap.|b sv
B|Yes, definitely, but just like the computers.|aa aa sv
A|Uh-huh.|b
B|Uh, remember how they started out running three, four hundred dollars.|sd
A|Right. Oh, the calculators you mean.|b bf
B|I mean calculators, I beg your pardon.|na fa
A|Yeah, they sure do. Yeah I actually was thinking about upgrading mine very recently and kind of look at the whole spectrum. You can actually buy a whole brand new computer with a not not a necessarily a slow one or inadequate one but a pretty good one for six hundred dollars.|aa aa aa sd sv
B|You're kidding.|bh
A|No.|nn
B|Including a printer?|qy
A|Well, actually I wasn't including a printer, but you you can buy a printer now for a hundred dollars so make it seven hundred.|arp_nd sd sd
B|A hundred?|qy
A|Yeah.|ny
B|Wholly smoke, a respectable one?|ba qy
A|Yes, uh-huh.|ny ny
B|Well, see of not being particularly interested I don't keep track of prices on them, but I'm, I'm, that does amaze me.|sd sd
