B|Um, all right.|fo_o_fw_"_by_bc
A|I've, uh, as far as I'm concerned, I find that the young women have lost so much because they have become more aggressive and more dominating, and I think that comes about from their being a definite factor in the job market now.|% sv sv
B|Uh-huh. Oh, well, I tend, I tend to agree. Uh, in some ways I think it's, uh, I think if anything, a lot of, um, the changes that have occurred, uh, in some ways they're for the better because I think women should have a choice, and I do believe in the, being able to have a choice as to, as far as, what you would like to do with your life. But by the same token, and I know this for myself because I've worked and I've not worked, um, that it makes it, uh, sometimes it makes life more difficult. I think when the roles now are less defined, as far as, you know, what, uh, women should or should not be doing, that it, it, it could make life more difficult. There are more things to work out. I know when I was working, you know, you have all these problems with, with the child care and, and with, uh, pleasing, you know, your boss on the job, so you have added stresses from there and then you still have all the things that, um, that you need to do at home and that doesn't change, you know, just because your going out of the house for so many hours a day doesn't, uh, make those other things go away and the other responsibilities are still important. Um, so, um, have you, have you worked outside, also and, um, feel that, it, that, well, how do you feel, as far as, uh, what would be a happy medium or, or what would you like to see?|aa aa sv sv sv sv sd sv sv sv sv sv sv sv sv sv % qy qo qw qo
A|I would like, uh, yes, I have worked outside of the home and, I was in one of those safe occupations.|sv ny sd sd
B|Yes.|b
A|I was a school teacher,|sd
B|Uh-huh.|b
A|and we had one child when I taught for my two year career.|sd
B|Uh-huh|b
A|Uh, we, uh, then I stopped teaching after my husband's business was established, and we had two children and I stayed home with those children, and raised those children|% sd sd sd
B|Yes.|b
A|and now that my husband has retired, I am back substitute teaching,|sd
B|Yes.|b
A|which if anyone has ever been involved in that, some days it's fun and some days you wonder why you're even bothering,|sv sv
B|Right|b
A|because your fighting for your life.|sv
B|But, yeah.|% b
A|But, I am a fighter and I've always been a disciplinarian. Uh, I'm, I'm not real sure that the young girls of today are being forced into the job market as many of them imply. I think they're going in by choice.|sd sd sv sv
B|Oh, I think so. Yes.|aa aa
A|Yes. And, and I have no problem with that, but I think the male needs to be the dominant person. And I think too many of the young professional wives in our small town of five thousand, uh, are not letting that happen.|b^m sv sv sv
B|Uh-huh.|b
A|They are very aggressive.|sv
B|Uh-huh.|b
A|They're, uh, they almost have what I would call a killer killer bee instinct.|sv
B|Yeah.|b
A|And they have to be in charge. And, and I I think they lose a lot by what I call neutering their husbands.|sv sv
B|Uh-huh. Children Well, what do you think, ater running though, um, um, I don't know. I, the, the one problem I guess I have, and maybe what so many women, younger women now are choosing to go outside is, I feel that in general, in this society, that being at home is not looked upon as, um, a job in itself. Whereas, you know, you hear a lot of women that are home saying that it is a job in itself, but I know when I was working, and I was an engineer so I was always with men, uh, and they were single, many of them, and I tried to explain to them, well, my day doesn't end when I leave at, I used to leave at three, I keep going to eleven at night|b qw % h % sv sv sv sd sd sd sd sd sd
A|Uh-huh.|b
B|and they had, they used to look down on women that were home, they'd say, oh, I bet you go home and, you know, at least you get out of here at three and you can go home and put your feet up and watch soap operas,|sd sd ^q ^q
A|Oh, sure <laughter>.|b
B|and I used to be infuriated,|sd
A|Uh-huh.|b
B|because they really had no idea what was involved once I got home. Now taking care of them, running them everywhere, helping with homework, the bath, the whole, you know, everything. Um, and I think that one reason that so many younger women feel compelled to go into a profession is that they feel that if they stay home they are not respected, and that being home is not a respectable, uh, position in society.|sd sd sv
A|Huh.|b
B|And, there's a lot of truth to that and I don't know how you feel. I don't know how you felt when you were home and what kind of feedback you got, but I can see with the younger men that they definitely are looking down upon women that are home. And yet by the same token, I think some of it is jealousy, you, you, once in a while, you hear them say things like, I wish I had the choice, you know.|sv sd sd sv sv % sd
A|Uh-huh.|b
B|I wish I was the one, I would stay home with my kids if my wife would go out and support us,|^q ^q
A|If my wife had an education and could support us, and the only value I see coming out of, this is that children now in, in a two parent home, they now actually have two parents,|^2 sv
B|<Children> Uh-huh. Yeah.|b b
A|because I see my sons-in-law, I have a daughter who's a nurse and I have a daughter, who's a beautician.|sd sd sd
B|Right.|b
A|And I see, my sons-in-law cooking and, dropping children off at the sitter and, picking children up from school and, and having a much better relationship with their children, than my husband ever did|sd
B|Uh-huh. Right. Right. Right <noise>. Uh-huh. That's true.|b b b b b sv
A|because he, left home at five thirty in the morning,|sd
B|That's true.|sv
A|and he got home at six fifteen.|sd
B|Yes.|b
