B|There you go. First question, do you own your house?|fo_o_fw_"_by_bc sd qy
A|Uh, right, well, we try. I mean it's a big mortgage in the sky and someday, maybe, we might even own it, but, um, for all practical purposes, I guess we hold the mortgage|na sd sd sd sd
B|Our name is on the till,|sd
A|Yeah, right.|b b
B|so that implies ownership.|sd
A|No one else has offered to pay for it.|sd
B|That's right. I would not object if anybody did.|aa sd
A|Yeah, really they could move right into the spare room|b sd
B|Yeah. Well, we have, we have had this one for five years now. Before that we lived in Garland, uh, probably about, you know, four blocks away.|b sd sd
A|Uh-huh.|b
B|Liked the area, chose to stay inside of Spring Park. It's a, uh, I don't know if you have been up here, but it is a residential homeowners, association.|sd % qy^d sd
A|Right, yeah,|b b
B|So, there's a lot of, you know, activities, a lot of pluses and common land. But, uh, we thought we were buying at the bottom of the market, you know, it could not possibly have gone any lower and so we were wrong|sd sd sd sd
A|Oh, five years ago.|bf
B|Yeah.|aa
A|Yeah,|b
B|I think, what, it bottom out about a year later.|% % sd
A|Yeah, it, well, I mean just recently, I would say, I would give it two years back, when it was, I think, bottomed out.|b % sv
B|Oddly enough, two years, you know, I, uh, I think that,|aa %
A|But, maybe not in your area, see, it was just different areas,|sv sd
B|not in, in, uh, this area. Cause this is about like the,|sd %
A|That's a really nice area.|sv
B|Yeah.|b
A|Besides, it's, you know, it's not, it's not Richardson. Is it? It's still considered Garland.|qy qy^d
B|No, it's, it's Richardson.|nn sd
A|Oh, ok, yeah.|bk b
B|It's, Richardson and, hold on a second. to someone in Paul, I can hear you perfectly, perfectly well, I don't want to hear you. You are being rude. Whatever you ask or scream when I'm on the phone, the answer is no. Do you understand? to talking on How does that sound?|sd ad t3 t3 t3 t3 t3 qw
A|There you go. Write that one down.|ba ad
B|Yeah, there I go.|b fo_o_fw_"_by_bc
A|It sounded good to me|sd
B|Yeah, well, I hate to say how long that will last too. No, this area up here is, uh, all custom homes, and, it's,|b sd ^h sd %
A|Right.|b
B|I don't think that many by the builder that built this house. And, we were not the first people, the first owners, I think we are the third owners.|sd sd sd
A|Uh, okay.|b
B|It was built by the architect for himself, who never moved into it. Who sold it to a couple who had no idea that homes ever needed upkeep.|sd
A|Oh, no.|ba
B|Oh, yeah, caulking windows was a great mystery to them.|ba sd
A|Oh, gee.|ba
B|So, they just watched the water pour in on the carpet. But, it's a Sharif Myneer Homes, if that means anything, it did not really mean anything to me except,  I liked it.|sd sd sd
A|I, I,  kept thinking of Omar Sharif every time I saw that name somewhere, so,|sd %
B|He builds eight hundred thousand dollar houses now. I think he got out of the lower end market. And decided,|sd sd
A|Uh.|b
B|but, the houses here in, in this class of housing never dropped below two hundred.|sd
A|Oh, wow.|ba
B|Yeah, well but, still I know that this one was built for two ninety nine, which is nowhere near what we paid for it.|b sd
A|Right.|b
B|And I think somebody told me it's also on a creek side lot, heavily wooded off the golf course.|sd
A|Oh, great.|ba
B|Yeah, and the guy around the corner is being transferred so he said, uh, well, he did comparables that it's about eighty dollars, let's see what, I don't remember if he said it was sixty dollars a square foot off the creek and eighty on the creek, or, if it was eighty and a hundred.|b sd sd ^h sd
A|Well Yeah. Probably eighty.|b sv
