A|Okay, well what do you think?|fo_o_fw_"_by_bc qo
B|Well, I'm kind of leaning towards, I don't know, I'm thinking about what, from one to ten what my no would be. It would probably be somewhere closer to, uh, less control because I don't see, I'm not a member of the N R A although my, father is.|sd sd sd
A|Uh-huh.|b
B|But, I guess I believe, I think the N R A has gone overboard the wrong way. You know,|sv
A|Yeah.|b
B|they're sitting there on number ten, they're saying absolutely no gun control, we don't even want to think about it and, and I think that's a dumb,  situation.|sv sv sv
A|Yeah.|b
B|Because there has got to be some kind of background check to see, that the people who are buying a gun are buying it for a useful purpose, you know, if, if you're going to hunt with it, or if you're going to do sport shooting you can wait a week.|sv
A|Uh-huh. Right. That's true.|b aa aa
B|It's not a big deal for them to go. If they're can check your drivers license every time you get a ticket, you know, I mean, they should be able to go back and find out if you've had any kind of psychiatric record, armed, you know, felony record.|sv sv
A|Right. That's true.|b aa
B|any of that kind of stuff. And, it seems to me right now that there's not, there's not that much of a check. I, I'm not really sure what Texas law, I think there's a check for felonies, on your record.|sv sv sd
A|Right. But,|aa %
B|If the gun shop owner does it,|sv
A|Uh-huh.|b
B|you know, but,|%
A|Yeah, but he has to go out and do it. That's true, I think,|aa sv aa
B|Yeah, if, and if it's a private sale, of course, then there's nothing.|b sv
A|Right. And, see that's my only problem with, uh, making you, um, you know, get the check and everything is, is, I guess bad guys, if you want to call them bad guys, they are going to get a gun no matter what.|aa sd % sv sv
B|Uh-huh.|b
A|They're not, I don't think they're going to go to a gun store or pawn shop and get it the right way when there's a check, I think they're going to go out and find it someway, individual sale or something like that.|% sv sv
B|Yes. But, but maybe we'll prevent a few John Hinckleys.|aa sv
A|Yeah. I hope. That's true.|aa sd aa
B|You know, I, I, that, that's the kind of people, like I say, I don't think the guy who's going to rob a Seven Eleven, is going to rob a Seven Eleven whether he has a gun or a knife, baseball bat,  or, you know, whatever, Yeah.|% sv sv
A|Knife, exactly. He's going to do what he wants to do. That's true. I, I just think it makes honest people more honest and,|b aa sv aa sv %
