A|All right, uh, you have pets, I understand, a couple of them.|fo_o_fw_"_by_bc qy^d
B|I, I, Well I have, uh, these,|h
A|What are they?|qw
B|well I don't know if they consider themselves animals anymore. They actually, you know, sort of take over the place an, and we're kind of their pets.|sd sv sv
A|Pets get like that don't they, they think they own you|qy sv
B|Don't they really? They own the place and naturally these are cats, so.|qh sd sd %
A|Okay, these are cats. I remember one time, uh, I used to get a chuckle out of, out of Pogo. That dates me quite a bit, you probably don't know|bk sd sd sd sv
B|Oh, Pogo, sure.|^2 aa
A|Yeah, he, when Beauregard was talking he was the dog, remember.|b % sd
B|Uh-huh.|b
A|and he used to say, pets can be most as much trouble as as kids, if they work at it a little bit, and even more when they work at it a little bit|sd
B|I agree,|aa
A|And I think that's true,|sv
B|I, don't know, I, I, I think that, um, my husband and I are in such a situation that, uh, um, I'm kind of, um, not able to do a lot, I'm, I'm kind of in a wheelchair, I mean I kind of am,|h sv sd sd sd
A|Oh, uh-huh. just good company, huh, that's neat.|b
B|but, uh, yeah, I've got these two cats that hang around with me all day, and I don't what I'd do without them. It is and,|% % sd sd aa %
A|You know it's funny how pets get to be so, uh, they really, you really do mourn them after, when things happen. Now we don't actually have a pet right now.|sv sv sd
B|okay.|b
A|But, uh, but we have had some and, and I I it's always hard for me to believe how close I've gotten to them. We had a little, uh, uh, oh, dog, it was a little, uh, I got it so it wouldn't, wouldn't shed, one of these, French Poodle, a little French Poodle.|sd % sd sd sd sd
B|Oh my. Oh, really.|ba bh
A|Yeah, and, uh, he used to, I used to come down stairs in the morning to feed him, you know, and I'd let him up out of the basement where he was sleeping and he would just dance around the floor and I just got, and we only had him about three or four weeks before he was hit by a car,|ny sd sd sd sd sd
B|Oh!|ba
A|but I cannot believe the whole family just, he just got in to us so quickly,|sd
B|Oh!|ba
A|I could not believe it.|sd
B|That, yeah, that's,|% b %
A|I, I have to tell you about our most interesting pet, though.|sd
B|Okay.|b
A|Uh, we had an iguana living with us for about, uh, about two years, two and a half years I guess.|sd
B|Oh, uh, by choice?|qy
A|It was about, uh, oh, three feet long, about three feet long. It was a beautiful animal, name was Clyde.|sd sv sd
B|Clyde the iguana.|bf
A|Clyde the iguana. And, uh, my son Dan went to, uh, to, uh, Hawaii for the summer and when he came home, uh, he didn't bring the iguana with him but for some reason or other he had a thing for them. I don't know whether he'd, I think there was one in the school, uh, zoology department, you know, or biology department, one or the other, anyway, uh,|aa sd sd sd sd sv
B|Uh-huh.|b
A|and anyway, he just, he went and found this guy in, in Dallas somewhere who had picked up one in, I guess in in Mexico, I don't know where. But anyway he brought this home and I looked at him and I said you've got to be kidding, I'm not going to live with a lizard|sd sd sd sd sd
B|Yuck!|ba
A|But you know I visualize that animal racing about, and you know, like you think of lizards doing but they don't do that. They're very much like, uh, well, the thing about them is that they hold so still you don't notice that they're there and then they move and about scares you to death sometimes.|sd sd sv sd sd
B|Did you have him in a cage?|qy
A|No,|nn
B|Oh no,|ba
A|he had full run of the house.|sd
B|Oh no, oh no.|ba ba
A|He just loved to sit on the back of my dryer where the air, the heat came up out of the dryer, you know.|sd
B|Uh-huh.|b
A|It was, he was really a neat pet and though I, you know, he'd when we'd have family home evening and everybody would sit in the living room and the fire would be burning he'd walk across my feet sometimes|sd % % sd
B|Oh!|ba
A|And it, it was a long time before I could really pet him and, but I fed him and he, he knew how to get me to feed him. He'd come out to the kitchen, just kind of look at me until I went and got him something out of the refrigerator.|sd sd sd sd
B|Uh. Oh no, I mean you don't argue with an iguana, do you.|% ba qy
A|But he was really a neat animal. He, he'd lay in Dan's lap, you know, and just, uh, when he'd pet him, he'd just stretch and, you know, you could see him just enjoying it like a cat does.|sd sd sd sd
B|Oh no.|ba
A|It was kind of interesting. But he did a lot of interesting things and, uh, Dan carried him around and he liked to ride on the back of his, up on his head, you know, with his tail wrapped around his arm so he wouldn't fall off, an, and scare everybody to death and kids loved him,|sv sd sd sd sv
B|Oh, my goodness.|ba
A|kids just loved him. Kids just came from all over to come and see Clyde and visit with him and, and he tolerated them, you know. He'd even tolerate him petting though, he didn't like them too well at first, but he, he got tame, you know, so that, uh, people could go in there. And Dan was a drummer,|sv sd sd sd sd sd sv sd
B|Uh-huh.|b
A|and he didn't, he, the only thing he didn't like very well was the drumming.|sd
B|Was the drumming.|b^m
A|When Dan would drum he'd sit there and scrunch up, you know like he was trying to protect himself,|sd sv
B|And cover his ears.|bf
A|and then he'd leave the room|sd
B|Isn't that funny the way we put, you know, um, human characteristics on an animal like that an, an, it's,|qy^d %
A|Oh yeah, they really are, they're interesting, well they take on human characteristics like, uh, our other animal,|ny sv sv
B|I guess they do.|aa
A|the next year our, our son Ken went to Hawaii and well, while Dan was in Hawaii, Ken decided he wanted a dog and he, and he looked around a long while and he found a Norwegian elkhound and he just brought this Norwegian elkhound an, home|sd sd sd sd sd
B|Oh.|b
A|and he was so funny. Uh, for a while they built a, a run for him out to the side of the house, you know. He'd been on the patio but they put the run out there, and he didn't like this run because there were no people that came by and sometimes he would just make a racket until you came and got him. And one night we'd forgotten to put water out for him and, and Hal and I were in bed and all of a sudden there was all this noise out to the side the house and, and he'd pick up his dish and throw it in the air And then bark and march around, you know,|sd sd sd sd sd sd sd sd sd sd
B|He used a classic illusion .|ba
A|and then he'd pick up his dish again and throw it in the air until we came out and gave him some water.|sd
B|I forgot to ask you, did the iguana catch flies for you?|qy
A|Did what?|br
B|Did the iguana catch flies for you?|qy
A|No, he didn't eat flies.|nn sd
B|He didn't eat flies.|qy
A|No, they eat, uh, they eat greens.|nn sd
B|Oh.|bk
A|Uh, we fed him the outside leaves of lettuce, you know, I'd get lettuce at the store and he'd eat the outside leaves.|sd sd sd
B|Oh.|b
A|And then in the summertime you could put him out and he'd eat outside except you had to keep him away from the garden because he liked to eat the little peas as fast as they came up, you know.|sd sd
B|I bet|ba
A|It was really it was s really a of things that were fresh sprigs, you know, he liked that.|sd sd
B|Well can we ask you whatever happened to Clyde?|qy
A|Well, yeah, when, uh, when Dan went up to college up at Ricksun , Idaho he took him with him,|ny sd
B|Oh.|bk
