B|What do you think about it?|qo
A|Well, I, I feel in light of some of the accidents and so forth that have happened lately, that I think there are some occupations that they should, such as the health field, the transportation field, uh, they're already doing it in the armed forces, where they handle weapons and so forth, uh, they do it to prisoners|sv sd sd
B|Yeah.|b
A|so, I, I, uh, I, I, I feel like it should be mandatory in some professions, and I think if, if, uh, an employer feels that he wants to, to drug test employees and they don't like it, then they should not be employed there That was, you know, I would not mind it.|sv sv % sd
B|Yeah, I, I especially agree that if it's an area where they could cause somebody else, you know harm or injury, absolutely.|b sv
A|Right.|b
B|And I don't have a problem at all with employers, uh, testing in the hiring process, but I, I, I don't, I don't have a problem with them too much, testing even after the fact, but I do a little bit where it, where it wouldn't hurt anybody. I don't know, sometimes I think they carry it a little bit too far.|sd sd sd h sv
A|Uh-huh|b
B|But,|%
A|unless an employer has a reason to believe that his, uh, the work competency of, of the employee is, is hurting the business.|bf
B|Yeah. Right|aa aa
A|I mean maybe it's, uh,|%
B|and then it's not a problem.|sv
A|Number one because generally if, if they are involved in that type of thing they are into theft|sv
B|Yeah.|b
A|and as an employer, I would think that would be, and the first, it's not going to be wholesale because of the cost.|% % sv
B|Oh, absolutely.|aa
A|There's no way. But, but my concern is, uh, school bus drivers.|sv sd
B|Oh, yeah. the train drivers,|b %
A|Um, I'm not even, I'm in education, I'm not even opposed to it for that. Uh, I'm concerned in the medical field.|% sd sd sd
B|Yeah.|b
A|I, I, I think they should screen for alcohol in these areas, too because I consider that a drug.|sv
B|I wish they would. I wish they would, and that, I think, is even probably more widely abused by, you know, the masses than, than drugs, so to speak.|aa aa sv
A|Right. Right. Right.|aa aa aa
B|So.|%
A|But when you consider they could be driving an airplane or driving a bus, or a train, um|sv
B|Oh, I know. And,|aa %
A|and it doesn't take that long. They don't have to be totally roaring drunk|sv sv
B|No.|aa
A|just a little off on their timing could, could mean life.|sv
B|Just, uh, Yeah, and, Now T I has the random testing policy|% b % sd
A|Oh, okay.|b
B|and, and, you know, our names or our employee numbers or whatever are in a, in a pool|sd
A|Uh-huh.|b
B|so I've already been tested once when I was hired and, and once since they initiated this random testing program.|sd
A|Uh-huh, uh-huh.|b b
B|But I work with one girl who was tested, her name got, got randomly selected three times in six months|sd
