B|You ready?|qy
A|Yeah.|ny
B|Okay. What have you seen lately?|bk qw
A|Well, uh, it's funny, when I tried, to make the call the other days, I thought, I hadn't seen anything since DANCES WITH WOLVES but today I went to see REGARDING WITH HENRY.|^h sd sd sd
B|Oh, I'm dying to see that.|sd
A|It was really good. We|sv %
B|Oh.|b
A|uh, Jeff Wariner just got out of the hospital|sd
B|Uh-huh|b
A|and, uh, Jeff and Deeanna went and another friend in the neighborhood, and, uh, we all liked it. We had both moms and, uh, fifteen year olds and a twelve year old and everyone enjoyed it.|sd sd sd sd
B|Oh, my goodness.|ba
A|And, uh,|%
B|Oh, well I am just dying to see it. I went to dinner with some friends last weekend and they said get a baby-sitter and we'll all go see REGARDING HENRY|sd sd sd ^q
A|Yeah.|b
B|and I said, ooh, I want to see it so bad.|sd
A|Well, my son had gotten to see a lot of movies this summer, on, choir tour and visiting friends and one thing and another. A lot of the ones I had wanted to see|sd
B|Oh.|b
A|and so since he had this friend up from Houston, uh, and his friend had already seen so many and I thought they decided on this and I thought well, I want to see this one, too. So, we, uh,  I|sd %
B|Yeah.|b
A|finally, it's my first summer movie|sd
B|Oh my. Well, let me see. Was it, well, we went to see ONE HUNDRED AND ONE DALMATIANS last weekend and that may be, no, right before I went in the hospital my girlfriend said come on, we're going to the movies. And we won't, well she goes all the time but I go maybe once every couple of months.|ba ^h qy sd sv ar sd ^q sd sd sd
A|Yeah.|b
B|And when I go, I go see two at a time. So we went to see SOAPDISH, and|sd sd %
A|Oh, was that good? Cause,|qy %
B|Oh, hysterical. We laughed so hard, it was just, you couldn't hear half the dialogue because everyone in the audience was laughing   so hard.|sv sd sd
A|Yeah. Well, I want to see that and CITY SLICKERS both. I love   comedies.|b sd sd
B|Yeah|b
A|But, that's what I was|sd
B|that's the other one that we went to that night.|sd
A|Oh, was it?|bh
B|And, my face hurt so bad, from laughing because I love Billy Crystal.|sd
A|Oh|b
B|And course, growing up on, on the back of a horse, you know, and being on ranches and stuff, so much of that was so true and I was absolutely rolling in the aisles. It was so funny. Both of them were great.|sv sd sv sv
A|Oh, well good. I'm, I'm glad to hear that because they,|ba sd
B|Oh, they are, are we just laughed so hard. And like I said, with CITY I mean with SOAPDISH, it is so cornball and it is so overacted that you're just hysterical you know.|aa sd sv sv
A|Uh-huh|b
B|Just, they just carried it off, to the tee.|sv
A|Well, I don't, I don't know if you got to see WEEKEND, um, AT BERNIE'S  that was out a couple of years ago.|qy^d
B|No.|nn
A|They had a free showing at the Berkeley, um, United Artist.|sd
B|How neat.|ba
A|And, I don't know who was here or whether Jay called a friend and we didn't think we'd have much chance of getting in but we thought we'd try it, you know, free movie.|sd sd sd
B|Shoot, yeah.|ba aa
A|It was so funny and it sounds like, uh, what you were just describing, SOAPDISH, too. I mean, we just, we hurt by the time we came out.|sv sd
B|Oh yeah.|b
