A|Okay, have you ever served as a juror?|fo_o_fw_"_by_bc qy
B|Never. I've never been served on the jury, never been called up in a jury, although some of my friends have been jurors.|ng sd
A|Uh-huh. I never have either.|b sd
B|You haven't, huh. If you were, uh, what do you think about the whole concept of a trial by your peers?|% qo
A|Well, I think it's a good idea. I think our justice system needs a major overhaul, and I'm not sure what needs to be done to fix it. But I think they've got a lot of problems.|sv sv sd sv
B|I think the major thing they need to correct is how long it takes something to get to jury, and to get to trial.|sv
A|True.|aa
B|And I don't know if that's just a pure volumes number or, or what, but, uh. Sometimes I think the jury is ignorant in the facts of law and how things should be determined, and they're too easily swayed by their emotion.|sd sv sv
A|Yeah, I think that's true.|aa aa
B|Hence is possible error as you can see in all the IRONSIDES, T V shows.|sv
A|Yeah. Do, would you prefer all trials by a judge?|b qy
B|No, I think there are certain things that, uh, the jury can determine as far as, uh, guilty or not guilty, but as far as the affixing of punishment and fines and things of that nature, I don't know if that is best left up to the jury to to award, you know. Two point two million dollar kind of settlement versus a judge knowing, you know, it's true that, you know, this may be sad and all that thing, but, uh, the jury I think is best, in most cases, suited for determination of guilt and innocence, but not the award of, of penalties and fines and punishment.|nn sv sv sv sv
A|Yeah, I would agree with that. I think you're I think they sometimes get carried away by the circumstances and make huge settlements thinking well it's only going to cost the insurance company, and,|aa aa sv sv %
B|Uh-huh, that's true. But, uh, I do like the idea of the jury being the, the people who decide in the matter of, uh, if it's a jail term versus life and death you know, the death penalty and such.|aa aa sv
A|Uh-huh. If they give them all the information. I don't know, when it comes to sentencing phase, I guess they tell them if a guy, if the person has a previous record and stuff.|b sv h sv
B|Uh-huh.|b
A|Sometimes it seems like during the trial part, the jury's not, you know, misses some of the best evidence because they make them leave, and the judge decides whether or not they should hear it.|sv sd
B|Right. Yeah. Uh, it, it, it's kind of difficult, and I guess the whole system is set up to rather let, uh, some guilty people go free than to put an innocent person in, in jail although you still hear about those occasionally.|b b sv sv
A|Right. Yeah. Do you think the verdict should be completely unanimous by the jury?|b b qy
