A|Do you have any particular thoughts about the school system?|qo
B|or Well, um, I, I think that in, in, uh, recently with the, I'm not sure if it's more a problem with American families or a problem with the school system. They seem to be burdening the school system more and more with problems, any problems that a child might have, whether it's actually a school related thing or not and,  I.|% % sv sv %
A|I say agree with you a hundred percent there|aa
B|Yeah, and, and, well, it's gotten to a point where the schools are expected to take care of everything.|b sv
A|Yeah.|b
B|If, uh, you've some kid who doesn't have, uh, who's from a broken family, the schools are supposed to fill that void. uh, you know, teaching classes and maybe providing extracurricular sports activities or something like, oh, were kind of traditionally the school's roles.|sv
A|Yeah. Yeah, it's interesting because, uh, we're just having conversation on this, uh, with a couple of people yesterday. And I was expressing my frustrations that, uh, some of the, so many problems, I work in a high school, are that kids don't have a, a degree of self-discipline which may be reflected in society at large. Uh, and you can't expect in a classroom for a particular course an hour a day to counteract, uh, sixteen or seventeen years of influence at home.|b b sv sd sd sv
B|Right.|b
A|Um, and, it's seen more so because when you call parents up, many parents won't even recognize that there is a problem and I'll say, they'll say, oh, well, our kids, my kid, I've never heard anything about this before. This is the first time there have been problems. And, and, you wonder, don't these parents know that teachers talk, and, you know, we do check with other teachers, and other teachers find the same things in  this child.|sv sv ^q ^q sv sd sd
B|Right.|b
A|And, you know, how do you tell your parent's, the parent, hey, wake up, and smell the coffee|sd
B|Right.|b
A|But, um, it, it is a problem, and I'm not sure just, uh, how, how the school system could operate in a vacuum on it.|sv sv
B|Yeah.|b
A|Whether maybe through a commitment of the P T A, uh, and the parents being informed better, that in fact that the problems that are nationwide are problems, um, of society, and that, that the school can only do so much on it.|sv
B|Yeah. Well, then, then again when you have, uh, a society where a certain percentage of the parents are, uh, doing drugs in the home uh, either unemployed and don't care about a, uh, just a have their own problems how, how do you expect the school to, um, or how do you expect the,|b sv
A|Uh-huh. Yeah, yeah.|b b b
B|you can't really expect that parent who's, quite frankly  a loser in life, as it is  to, to care about the, the situation with their child,|sv
A|That's right. Uh-huh.|aa b
B|and,|%
A|water You know what scares me too, is that we have yet to see other, the biggest effect of the crack children uh, in the school system.|sv
B|Right.|b
A|These are children that are born with low deficit, attention deficit|sv
B|Right.|b
A|and, gosh, what's going to happen when these kids start coming into the school system. That's really scary water|qh sv
B|Yeah.|b
