A|What was one of the latest ones that you've seen, actually?|qw
B|Oh, I I think we rented PRETTY WOMAN a couple weeks, months ago.|sd
A|Uh. Right. The last two years, I have done more theater movie going than I have actually watched videos at home. I've, uh,  uh, become available to come and go more often,|b b sd sd
B|Uh-huh.|b
A|so I said "hey, it's worth it, I'll just go at the matinee hour and I can see what I please."|sd ^q ^q
B|Yeah.|b
A|It's no more costly than renting one. The last, see I went about two or three weeks ago and saw F X TWO and that is a really good movie, if you like special effects, kind of gory and lots of, you know action.|sd % sd sv sd
B|Uh-huh. I have not done that one, I don't know if I have even heard of that one.|b sd sd
A|Um, do you know that I don't follow performers,|sd
B|Oh.|b
A|I don't follow actors. Some I know,|sd sd
B|Uh-huh.|b
A|some I don't.|sd
B|Yeah.|b
A|Uh, and he was the guy, the guy that played in it, he was not the star, but the one that played in it that I liked best was the one who was in, uh, oh, the one about the old people.|% sd
B|COCOON?|qy^d
A|COCOON, uh-huh.|sd ny
B|Okay.|b
A|He was a blond haired, heavyset alien in COCOON.|sd
B|Oh, okay.|b
A|I don't, I don't know what his name is.|sd
B|Uh, I think I know who you are talking about though.|sd
A|Yeah. At any rate, I also saw not long ago ONCE AROUND. That was with Richard Dreyfuss.|b sd sd
B|Okay.|b
A|And, that one was just a very poignant story, it, it, it had people, it was, it was you know, a lot of people said it was a really funny movie, but it was,  a very, it was a poignant humor|sv sd sd sv
B|Uh-huh.|b
A|and there was, it was like, uh, uh, STEEL MAGNOLIAS. The characters played very well off one another.|sv sv
B|Uh-huh.|b
A|And there was humor involved, but the story was a very dramatic story, and I enjoyed it very much. What are some others that you have seen lately?|sd sv sd qw
B|Oh, I'm trying to think, uh, just the other night on H B O we watched THE HUNT FOR RED OCTOBER,  again|^h sd
A|Oh, whoa, yes.|ba b
B|and that's one that,|%
A|That's one I can watch,  over and over and over again.|sd
B|Yeah. I was going to read while it was on, but then when it started, I just couldn't, you know, read. That was a really good movie.|aa sd sd sv
A|It sure was. And, you know, the second time you see it, you understand more subtleties in it. There are a number of good movies like that.|aa sv sv
B|Yeah, there's quite a few, uh, movies out now that I would like to go see. My husband,  is not a real big movie goer,|b sd sd
A|Uh-huh. Uh-huh.|b b
B|and I guess, more than anything, that is why we don't go.|sd
A|Yeah.|b
B|Plus, by the time you get a baby-sitter, and then pay to go to the movies it just gets pretty expensive.|sv
A|Uh-huh. Right. You don't work?|b b qy^d
B|No, I stay at home.|nn sd
A|Okay. Well, you are going to have to find a mother's day out and have him call in sick one day.|bk ad
B|Yeah. Go during the day, that's right.|b bf aa
A|That's right. There's nothing wrong with that. Go in the early hours, it's a matinee, it's not crowded and the price is as reasonable as renting a video.|sd sv ad sd sd sv
B|Yeah.|b
A|And that's the way I do it and I go quite frequently.|sd sd
B|Uh-huh.|b
A|If you are going to be planning on doing that, now I was WARLOCK too, which is supposed to be the story of a, uh, witch hunt that is, you know, magically shot into the present time.|sd sd
B|Uh-huh.|b
A|And, the first five minutes or ten minutes of the movie was, I was very well persuaded to walk out. Very well persuaded, there was more gore than I was interested in seeing.|sd sd
B|Uh-huh.|b
A|But, as the movie settles down to a comfortable action, uh, I can't really that it would have gotten more than a star and a half from me either. But,  uh, the action was comfortable|sd sd
B|Yeah.|b
A|and, of course, I enjoyed those good guy, bad guy type conflicts things. So, I enjoyed that movie, after the first few minutes of gore. And there were some others, but they were done a little more tastefully.|sd sd sd sv
B|Yeah.|b
A|But, uh, in the first scene, the warlock chopped off a guy's finger because he wanted the ring and then bit his tongue out and spit it off in the omelet|sd
B|Uh.|b
A|and I could not handle that. I said "whoa, I'm glad I have not had dinner". Then, uh, I saw AWAKENING, that's a wonderful, wonderful job by Robin Williams and Peter De Niro. I, uh, I, uh,|sd sd sd sv %
B|Robert De Niro?|br
A|Robert De Niro, what did I say, Peter?|sd qw
B|I think you said Peter.|sd
A|I said Robert De Niro.|sd
B|Yeah.|b
A|And, he has done a really good job of characterizing the, uh, disabled person.|sv
B|Uh-huh.|b
A|And, of course, Robin Williams always just has a, an air about him that you can't help but enjoy what he is doing. Even when he's sad, you know, you great faith that he will get happy again.|sv sv
B|Uh-huh.|b
A|And then, oh, let's see, there's a couple or three that I would like to go see before they go into videos. I guess, I can wait another month and they will be videos.|sd sd sd
B|Yeah|b
A|One is SILENCE OF THE LAMBS. I've heard a lot about that one. They say if you really want to be, uh, you really want some suspense, that's the one to see. And, I understand that's a sequel to an earlier movie that showed about two weeks ago on television. Uh.|sd sd sd sd
B|Well, you know, I think I read about that too.|sd
A|Uh-huh. And then THELMA AND LOUISE, I think it's time we had a lady abuse the guys movie. It's about time for one of those. I want to go see that.|b sd sv sv sd
B|Yeah.|b
A|And I'm going to try to get in DANCES WITH WOLVES.|sd
B|Oh, you haven't, I've heard that is wonderful.|qy^d sd
A|Uh-huh, I've heard it's wonderful too, but I, it's just that they are both very long uh, movies,|b sd sd
B|Yeah.|b
A|and the matinee starts before I can get away from work.|sd
B|Oh.|b
A|And, after, after that I get involved in other things and don't want to don't want to go back.|sd
B|Yeah. Yeah, I've heard that's, we, uh, we, uh, rented the other one, I was trying to think of the other one that we had rented lately, uh, was PRESUMED INNOCENT, with, uh, Harrison Ford, I guess he's in there.|b b sd sd sd sd
A|Uh-huh.|b
B|And, I thought that was really good.|sv
A|You know, I saw that and I really I cannot remember too much about it.|sd sd
B|It was the one where he was a defense, uh, not defense, he was a|sd ar sd
A|Uh-huh.|b
B|And there was a murder of one of the women that was in the, the D A office.|sd
A|Uh-huh.|b
B|And then he ended up being accused of it.|sd
A|Oh, that's right, I remember now. Yeah, I remember.|aa sd aa sd
B|Yeah, so, I mean it really kind of had a turn at the end, when you found out who it was|b sd
A|Uh-huh. Well, I've had a hard time enjoying Harrison Ford in anything since the Indiana Jones movies. I think he ought to stay Indiana Jones. I realize that he would like his career to develop, but I don't want to see him in other things. But, uh, I tell you, Sean Connery in the HUNT FOR RED OCTOBER, I, I never did care for him as, in the James Bond movies. I don't know he was too .|b sd sv sd sd sd sd h %
B|I was never into those movies, either.|aa
A|Yeah, I didn't care for the type of movie, but he was always slick, and greasy, and seemed to be conceited and had more women than he needed and I didn't like him. But, he has really developed into a marvelous character actor as he has come older.|b sd sv sd sv
B|Yeah, I thought he looked real good with a beard, too.|b sv
