A|Okay, so do you all keep a budget?|fo_o_fw_"_by_bc qy
B|No, we don't.|nn sd
A|You don't?|qy
B|No, I, I make so much money here at T I that, that we just spend it. And we never have a problem meeting it from paycheck to paycheck. It's pretty neat being that independently wealthy and working for a major semi-conductor firm, you can just spend it well.|nn sd sd sv sd
A|Are you being smart, or are you serious?|qy qrr
B|I'm being facetious. I'm being very comical. Uh, we have a budget, um that works well.|sd sd sd
A|Uh-huh.|b
B|I kind of look at it for more of a, we have a financial, uh, analyst, a finance administrator, I guess, that, that, uh, I guess the financial planners, the training now. We've had it for about four years here.|sd sd sd sd
A|Uh-huh.|b
B|Got our businesses and, and, and our life in line, how to manage credit cards, how to put away, say for, you know, money markets and this kind of thing.|sd
A|Yeah.|b
B|And, there's some freebies out there are you should put ten to fifteen percent of your monthly bring home in some sort of savings account.|sd ad
A|Uh-huh. Yeah.|b b
B|That being money market, uh, bonds, , savings, uh, or just a liquid account which, which we do.|sd
A|Uh-huh.|b
B|Um, you should always have three months of your salary in a savings account in case there's a major need for that.|ad
A|Uh-huh.|b
B|Okay. You should always have an umbrella permit that bridges your life insurance and your medical and your, uh, uh, car insurance in case you run into a lawyer and you break his arm. He's going to sue the pants off of you. These kind of things are about a hundred dollars a year. So you know, these are all equivalent to the monthly budget things.|b ad sd sd sv
A|Uh-huh.|b
B|Some of them are there to pacify situations. And some of them are there to prevent things from happening.|sd sd
A|Uh-huh.|b
B|But, uh, I guess we kind of got away from about the last sixteen months as far as saying, two hundred dollars for food and three hundred dollars for this and two hundred for that because we had a child which is about a year old, and then uh, we've just been kind of working on,|sd sd
A|Uh-huh.|b
B|I've been developing it, but it's kind of hard. Diaper prices are going up, you know, and formula and stuff, you know.|sd sv sd
A|Uh-huh. That's funny. Yeah, we have a, we're twenty eight, and he's been working at T I for five years, and that was pretty much his first real, really major job of any, you know, professional, because he had worked, you know, part time during school and what not, and, uh, he was a little late graduating, so we're, you know, uh, and we have a nine and a half year old son, and it's because, you know, we were eighteen when we had him, so, we're, we're kind of looking at this from the other aspect of, we, you know, we have a lot for, to be our age and, you know, just everything, and having the responsibilities we've had on us for, at such a young age. You know, we have a, like a nice house. People, you know, are really shocked at how nice everything is in our house. But, we don't, you know, live in a brand new house, either, maybe a ninety, hundred thousand dollar house|b sv % sd sd sd sd % sd sd sv sv sv sd
B|Uh-huh.|b
A|but we're in a thirty year old house that would probably sell for forty-five thousand.|sd
B|Uh-huh.|b
A|So, you know, we have trade-offs. So we're more, we have a monthly budget with this, this, this, this. But, we have no savings, which isn't real wise, but we just, we don't have the income at this time really to have any, because we have three debts that we're trying to pay off from both of our student loans. We're still paying trying to pay those off.|sd sd sd sd sd
B|Uh-huh.|b
A|And we have one car payment that we don't, I think we have about thirteen months left on it.|sd
B|Uh-huh.|b
A|And after that, we either, what we want to do is begin doubling up our car payment, um, they'll pay, our car payment is equivalent to both of our student loans. So what we want to do is next year keep driving the same cars and, um, pay on the student loans, split that car payment in half and pay, you know, double up payments on both our loans. And it'll work out perfect.|sd sd % sd sd sd
B|Do you have your, uh, loans through the Texas Credit Union?|qy
A|No, we don't.|nn sd
B|Okay. Thing about the credit union is, it's, the way it's set up is if you have two thousand dollars left, let's say, on, on the loan.|bk sd
A|Uh-huh.|b
B|If you go up there and write them a two thousand dollar check it doesn't all go towards principal.|sd
A|Uh-huh.|b
B|They take out for the, for the finances the finance charge, which is kind of, you know, it's like one of these lose or swim type of credit, one of those loans is. Not really the best in the world, but. But, you know, they're, uh, since your husband is, is, is, um, a T I but doesn't have the loans with the credit union, they're offering something that might be worth taking a gander at.|sd sd sv % sd sv
A|Really.|b
B|I don't know what your percent is on your, on your car payments|sd
A|Uh-huh.|b
B|but they are, they'll take any T I non-credit union loan like if you have a fourteen percent loan for a new car.|sd
A|Uh-huh. Uh-huh. Oh, really. Uh-huh.|b b b b
B|One of the secretaries we have down here is paying twelve percent through G M A C or something.|sd
A|Uh-huh.|b
B|And she's doing it. I mean, it's not like, it's like.|sd %
A|Does she have to pay to have it refinanced?|qy
B|I think they even cover that because they want you as a they want the T I to be part of the credit union.|ng
A|Uh-huh. T I to, See, we got ripped off buying our new car. We both come out of, uh, drugs and stuff, and we became Christians about five years ago. Right when he got home from Terrell. Right before he got hired for T I, he had gotten saved and stuff, and so, I mean, when you get come out of drugs and stuff, you have nothing, I mean, you know, you don't have anything. You have the clothes on your back, and you might have a car, and that kind of thing. And so, when he, when he started working at T I, we, uh, you know, we really felt like God told us to buy a new car because he had an older car that was going to need to be fixed and high gas. But we got ripped off on it because we wanted it financed at four years, and we were young and we'd look about nineteen. People still think we're about, they ask us where we go to high school when we get our hair cut and stuff, both of us. And so, it's just kind of strange, you know, so five years ago we probably looked like real ding dongs, you know.|b ^2 ad sv sd sd sd sv sv sv sv sd sv sd sv sv sd sv sv
B|Yeah.|b
A|So we went in, and the financed the car for five, and we didn't know that. We got kind of taken, just a little bit. So we're kind of upset that we're having to, you know, pay this fifth year on the car, because it was just not a wise thing. But we learned a good lesson. So, you know.|sd sd sv sd sd %
B|Well, five years is not that, uh, five years is not that bad of a problem only because you're paying more interest, but your payments are lower.|sv sd
A|Yeah, but they, they would have only been about twenty dollars a month higher, and he|b sd %
B|Oh, really.|bh
A|Yeah, he just told me this last week that he, he said, don't you remember I asked them to finance it at four years and they came back and they said that they had it figured for five and we'd already signed the papers. And I maybe, I might have been there. I don't remember hearing that. But, I also wasn't the one in charge of it, so I wasn't paying as close of attention.|ny sd ^q ^q ^q sd sd sd sd
B|Sure.|b
A|But, anyway, instead of putting our foot down about it, we just went, okay, whatever, you know. So anyway, so next time we'll do that different. We want to next time pay cash for our car, too. We want to pay cash for everything we can possibly do. When we buy a house, we attended a Bill financial seminar, and he has a lot of wisdom on that, just on Biblical, you know, principles to finance.|sd % sd sd sd sd sv
B|Uh-huh.|b
A|He runs a big, the largest real estate company in Fort Worth debt free. And we really believe in debt free living and debt free car buying and debt free house buying. And if we do take out a loan on a house in the future, what we'll do is pay twice a, twice a month on it, and, because you save a lot in interest, just doing that.|sd sd sd
B|Yes.|aa
A|And then,|%
B|You save a lot.|sv
A|Right.|b
B|If, if, if, if, and you need to be very careful, if the loan is set up to have bi, they call it a yuppie loan, if it's set up for bimonthly payments.|% sv sd
A|Right.|b
B|If you, because you'll save fifteen to seventeen years off the end of the loan.|% sd
A|Right.|b
B|I'm sorry, seven to nine years off the end of the loan.|sd
A|Right.|b
B|And there are, there is a local firm that'll actually, if, if, like in my situation, I don't have that, because the loan was not available. I can have, this firm will pick up my loan for a six hundred fifty dollar fee. So I can cut that much off the end of, but I'm not interested because we're moving out of the house next year.|sd % sd sd sd sd sd
A|Oh really.|bh
B|Yeah. But, uh, those are all great.|ny sv
A|Uh-huh.|b
B|The, the interesting thing, we're getting ready to have a house built|sv
A|Uh-huh.|b
B|it's not, a lot of the firms that offer, mortgage loan firms, aren't offering, um, that loan.|sd sd
A|Uh-huh.|b
B|You can ask and you can wheel and deal, but it's not as open as it should be.|sd sv
A|Yeah.|b
B|It's a great idea. Hell, I'd love to cut ours in half, but, uh|sv sd %
A|Uh-huh.|b
B|man. And if you figure, get with a financial person.|ba sd
A|Yeah.|b
B|And you can figure up exactly when like the eighteenth month of a loan, if you make like a four hundred dollar payment over and above your house payment it'll make, uh,|sd
A|Uh-huh.|b
B|it has a magic with numbers. It, I, it'll shave almost, you know, X number of dollars off,|sv sd
