A|Well, what is your view, do you consider the Soviet Union a threat?|qy
B|I don't know that it's so much a military threat anymore as a, well, you know, it's, it's real confusing right now to know what kind of a, of, of a threat it is, I guess,|ng sv
A|Sure.|b
B|it, it takes awhile to, to get used to something, you know, if, if they have completely on the, place has completely turned that much around to where they're not, you know, not what they used to be,|sv % sv
A|Right.|b
B|uh|%
A|It's, it's hard to, to know anymore if it's a, a threat one way or another because, uh, it used to be so, much in the past that whatever the top said the rest fell, you know, rank and file in behind it.|sv
B|Uh-huh.|b
A|And now that with Gorbachev is introducing more, I guess, freedoms or expressions of freedom, it doesn't look as though, you know, everybody's following the same pattern.|sv
B|Yeah.|b
A|And, those, the people who are, you know, the staunch military conservative people, you never know, well, Gorbachev's future is like whereas, whereas in the past it was seen as, you know, whoever was the head of the, the communist party was seen as, you know, untouchable.|% sv sv
B|Yeah. Yeah. I yeah, the thing that keeps happening is happening so fast and so, uh, dramatic that you almost think, now wait a minute, you know, we're getting stuck into something here, you know, if, if somebody's about to, to clobber you, the first thing they do is sort of say, well, you know, we're, we're ashamed, we're not going to do that anymore.|b b % b sv sv
A|Uh-huh. Exactly.|b ba
B|And, uh, um, you know, I'd, I'd like to think that that isn't true but I, I, you know, the evidence is that, uh, you know, he's, he's let some, some stuff go, you know, the east German situation.|sd % sv
A|Right.|b
B|It's just the whole thing is so incomprehensible, you know, if I'd have been asleep for five years, and read it in a book, I said, no, no, no, that didn't, couldn't have happened that way.|sv sd
A|Right. Well, it's amazing just because of the drain that's been on, you know, both economies that our economy is, of course, been able to, uh, withstand that a little better,|b sv
B|Uh-huh.|b
A|but, uh, the Russian economy they, you know, they, I don't know what the percentages are, but I heard it one time, it's just some ungodly number just to support the military machine.|sv % h sd sd
B|Uh-huh, uh-huh.|b b
A|And finally, you know, who knows maybe they're finally waking up and saying, you know, we can't afford this. Uh, the U S isn't the threat that we've always made them out to be, you know, even if they're saying that beneath the doors.|% sv sv
B|Uh-huh.|b
A|But it's hard to thing that just one person can bring that much of a radical change in that short of period.|sv
B|Yeah.|b
A|Even if it is, you know, the best thing in the long run, it just steps on too many people's toes, who are comfortable with the way the situation is.|sv
B|Yeah. Yeah, I, I think, you know, what I'd have to, I, I I guess to answer the question directly, I'm still just a, a little bit, you know, leery of the whole thing.|b b sv sv
A|Uh-huh.|b
B|What I haven't seen is the, uh, you know, a great stepping back in the military, situation.|sv
A|Right.|b
B|You know, it's, it's one thing, you know, to let us go ahead and sort of disarm and, you know, I even had a thought once that the whole Iraqi thing might have been just a, a deal to go ahead and let us, uh, you know, expend some, some military hardware.|sv sv
A|Expend?|^2
B|Of course, it didn't turn out that way.|sd
A|Uh-huh.|b
