B|Okay, I don't know, which end do we push but okay,|fo_o_fw_"_by_bc sd qw %
A|Okay, well, um, let's see, I, I think there's a lot of people that don't vote because they don't really think their, their, uh, opinion is going to be heard and, you know, there's such a small voice and such a huge number of people in the United States and that, you know, their, vote's not going to make that much difference and whether you vote for one person or the other person, the issues is what, you know, what you believe in, and that person is going to have a lot of, uh, since there's so many issues, this one person can believe a lot of different ways on, all of them|b ^h sv sv % sv sv sv sv
B|Right, yeah.|b b
A|so, it would be really difficult to have that one perfect person that believed exactly what you believed.|sv
B|That's true, you know, a lot of people, uh, uh, I think the, that it ends up the people that, uh, vote every time, uh, elections come around are more the, the polly, uh, the party type followers, the guys that, uh, you know, follow the party lines, you know, and, they, you know, just go in|ba % sv sv
A|Yeah.|b
B|and if they're Republican they vote Republican every year, you know, and, uh, the people that are independent, you know, are the ones that don't, uh, don't really, uh, show up every year because they can't seem to, to decide which are the good aspects and which are the bad aspects of a candidate.|sv sv
A|Right, yeah,|b b
B|Yeah.|b
A|that's good.|ba
B|I always thought it was back when Anderson was running, I was hoping that things would change and he'd actually get elected and party politics would start going down the tubes, but, um that didn't work.|% sd sd
A|Yeah. Yeah, there's, uh, a lot of extremes on the parties, too, with the you know, the real, uh, far side of the Democrats they're real liberal now and to where probably fifty or a hundred years ago, um, the Democrat party being liberal like they are now, you know, would never be thought of, it would be the other way that the Republicans were real liberal minded as far as like, uh, moral standings and those kinds of things.|b b sd sd sv
B|Uh-huh.|b
A|But,|%
B|Yeah, yeah, that's, uh, and then, and then people always get upset about it, too, because, you know, every year the, the, the politicians are the ones that are usually pushing for more people to vote,|b b % sv
A|Uh-huh|b
B|they, they each think that, uh, if more people vote, they'll get more votes, huh?|qy
A|Yeah|ny
B|I'm always amazed at that, that each candidate thinks it's going to be the people that come out that will vote for him, you know.|sd
A|Yeah. That's, that's true. I think in, uh, the Texas governor elections, I think more people turned out to vote against somebody than for somebody, this time.|b ba sv
B|Yeah, well, that, uh, I know that there's certain issues that can really motivate people because we live in a predominately Catholic type area,|b % sd
A|Oh, really?|bh
B|and when things start, uh, when, when abortion comes on the issues and people just get all inspired, you know,|sd sd
A|Right.|b
B|and, uh, still on the other hand we're also, uh, this particular community is a Catholic community but, uh, uh, down in D C where, where things are a little bit different, uh, you know, it's, it's women's rights and the, and that sort of movement, and so it's, uh, quite the opposite, so elections start getting very, uh, the elections where they have that topic seem to be a little bit better attended than some of the other ones.|sd sd sd sd sd sd
A|Yeah, that's true.|b ba
B|But, uh,|%
A|Yeah, that's true that the different places in America that, uh, you know, different issues would be a lot more important than say in another place.|b sd
B|Yeah, I can understand why, why some of the, the rural areas, the voter turnout isn't as much because it does seem sometimes like the lobbyists in D C are like controlling things for the, the Midwest,|b sd
A|Uh-huh|b
B|and, uh, it doesn't matter who they put in office, they're going to fall subject to, uh, the pressure that the lobbyists can put,|sv
