A|Hi, what do you do with your credit cards?|fp qo
B|Oh Well, my husband and I have gotten into some, some problems with credit cards. We don't handle them very well We, we tend to run them up to the maximum and then ask for more.|b sd sd sd
A|Oh, jeez.|ba
B|They, they're, they're really bad for us. Um, matter of fact, we've gotten rid of all of our credit cards except for a MasterCard and a Visa, and we pretty much keep those maxed out.|sd sd sd
A|Oh, I was going to say that, that sounds like, like pretty many. But I see what you meant, you had them for each of the individual stores.|sd sd bf
B|Yeah, we had I had probably twenty credit cards for,|aa sd
A|Uh-huh, uh-huh.|b b
B|I had, I had an American Express, American Express Gold, an Optima, all the different department stores, um, two Visas, two MasterCards|sd
A|Oh, gee.|ba
B|I mean, I had, any time anybody would, you know, send me an application, you know, preapproved or whatever, I went, I took it, and it really ended up getting us in some real serious trouble.|sd sd sd
A|Oh, sure.|aa
B|Um, because, see, the more credit cards you have, the more people offer them to you.|sv
A|Uh-huh, uh-huh.|aa aa
B|And the more you use them, the more they send them to you.|sv
A|But each of these had an annual fee also, right.|qy
B|Exactly. The American Express was probably the worst, um, because with the Gold card, I can't remember how much it was because I didn't even have it very long before I gave it up|na sd sd
A|Uh-huh.|b
B|but I know the Green card was like thirty-five, five dollars a year.|sd
A|Yeah, forty five. Right, uh, I,|b ar % %
B|Which was a lot, because I mean, you had to pay it in full every month.|sv sd
A|Exactly, you know, I, that's it, I really resented the fact that they were charging me for cards, so I sent back all of mine, except the ones that were free.|aa aa sd sd
B|Uh-huh.|b
A|And, um, then, then I also limited it to one of each, one MasterCard and one Visa, and here, most of the stores will accept those, and actually I then got a Discover card since they pay you back.|sd sd sd
B|Uh-huh, yeah, I had a Discover, and that was one of the ones in the group that I ended up, um, closing. Um, it really wasn't my choice, though. I mean, I ended up having, I ended up actually losing my credit cards.|b b sd sd sd sd
A|Oh.|b
B|Um, I ended up going through a credit counseling service um, because my husband and I just don't handle credit very well|sd
A|Uh-huh, uh-huh. Uh-huh, yeah.|b b b b
B|and, um, when, when you do that, they automatically, once you start with their service, they close your accounts out.|sd
A|Oh, I see.|b
B|So, I'm still paying on all these accounts, but my accounts are closed.|sd sd
A|Yeah.|b
B|So, and I would prefer to keep it that way. Once we, once we're paid off um, I would prefer just to have one MasterCard and one Visa|sd sd
A|Uh-huh.|b
B|and that's it.|sd
A|Yeah, yeah. Actually I pay off my cards every month. Only once in my life have I not paid.|b b sd sd
B|I think that's a really good way to handle it, because that way, if you, if you paid off every month, you never have to worry about, well, how much do I have to pay these guys, you know, this month, you know. This, you buy what you can afford. I mean if you handle it just like you would like a check or cash it's a lot easier to keep it in check.|sv sv sv
A|Right. Uh-huh, uh-huh. Well, and also in a sense, they're giving you a loan for a month so that you know, if I were smarter, I would have that same amount in savings and get the interest, which I don't do,|b aa aa sd sd
B|Yeah. Uh-huh.|b b
A|but, but yeah, the, the thought of adding, you know, X percent to, to the price of what I buy, I just, I can't accept.|% sd
