A|Okay.|fo_o_fw_"_by_bc
B|Are you a T I|qy
A|No.|nn
B|No. Is somebody in your family a T I|b^m qy
A|No, and that's how he got it.|nn sd
B|Oh, okay, so who do you work for?|bk qw
A|I just graduated from college.|sd
B|So you don't have any benefits at all to talk about.|sv
A|No.|aa
B|You're just going to have to imagine what you would like as benefits|ad
A|Or, what I'm looking for.|^2
B|Oh, okay, okay Well in, in interviewing have you ever discussed benefits with some of the potential employers?|bk b qy
A|No, huh-uh.|nn nn
B|Didn't get that far.|qy^d
A|No.|nn
B|you normally just try to sell them on your, uh, aptitude and not, you know, well how much vacation do I get Oh well.|sv fo_o_fw_"_by_bc
A|Um.|%
B|Well I'll tell you a little bit about what T I has as benefits. We do have, uh, like most companies, we have medical insurance. Although they're tending to try to really cut costs more and more. Um, what they started with a few years ago is that they only would allow you to go to, um, set hospitals in the area. They call it network hospitals. They're|sd sd sd sd sd sd
A|Oh, yeah, I've heard of that.|b sd
B|Yeah, they're hospitals that they're, uh, agreeing with, uh, T I that they'll be a certain rate, you know, for rooms and care and all that kind of stuff to keep you know, costs down.|b sd
A|Uh-huh.|b
B|Now they're going to start to do the same kind of thing with doctors. So it's almost like a, um, uh, an H M O you know, kind of thing that, uh, only certain doctors are you going to be allowed to go to and get the full coverage.|sd sd
A|Yeah.|b
B|If you go to a doctor who isn't in the network then it will be less benefits that you get.|sd
A|Uh-huh.|b
B|We have some dental coverage now, um, but you have to pay a little more to really get something worthwhile. Like, I've had a couple of crowns recently and if you didn't have the extra dental plus, um, you only get like a third of your cost, which can be kind of expensive with a crown.|sd sd sd sd
A|Yeah it can .|b ba
B|So, I, I pay, yeah, I pay for the extra dental plus, so much more per month because it always seems like if you're going to have a crown or something major done it pays a little more.|% % sd
A|Uh-huh.|b
B|Um, we do have pension, although I've realized recently that the pension doesn't seem to be too good and I know when you first start out working you're not thinking about that|sd sd
A|Oh, I like to think about that.|ad
B|After you've been working for a while and you look at your pension account and you go, is that all that's in there. I don't think's it's going to pay too long when I get out. Um, we do have a new thing that they've started a few years ago, um, it's not an I R A, it's called a four oh one K plan. It's kind of like pension. You put in so much money and then, T I, um, meets you half way up to a certain maximum. So like I put in a dollar, they put in fifty cents.|sv sd sd sd sd sd sd sd sd
A|Uh-huh.|b
B|So, that grows pretty good and I think that will be more of something I can see of a pension than the regular pension plan.|sd sd
A|Uh-huh.|b
B|Of course you can buy stock in the company, but, you know, that's not always a real, for sure kind of thing.|sd sv
A|Not always safe|^2
B|Yeah, especially with this one, you know, it kind of goes up and down. I don't know if it's any different than other companies, but you hate to have it fluctuate and like, you know, last year it was forty dollars a share and now this year it's thirty six dollars a share, and you go, gee, I'm losing money Doesn't quite feel as good.|aa sv sd sv sd sd sd sv
A|Yeah.|b
B|And we you know, vacation normally after you're here for six months and you start to get like five days every six months is kind of how they accrue it to you. And it's, one nice thing about T I is after you've been here, uh, for five years,  you get three weeks.|sd sd sd
A|Uh-huh. Oh, that's nice.|b ba
B|Which, a lot of places make you work like ten years or so,  before you get that much.|sv
A|Yeah. Uh-huh.|b b
B|And we get some, we get, uh, decent holidays. Um, at Thanksgiving we always get the two days off which is nice, to make a nice long weekend. And at Christmas we always get two days at Christmas. They float it around depending on which day of the week Christmas falls on.|sd sd sd sd
A|Uh-huh.|b
