A|So, do you have any hobbies?|qo
B|Well, right at the present time nothing real special. I kind of like gardening and I'm kind of into camping and, you know, vacationing, that sort of thing.|sd sd sd
A|Yeah, uh,|b
B|I don't have any real serious,|sd
A|I'm an avid gardener, oh,|sd
B|Oh, okay. I think you're ,|ba %
A|Um, I consider that a hobby. I don't know, they were like suggesting, like handcraft things which,|sd h sd
B|Uh-huh.|b
A|I guess that's a really true, true hobby, but I, I think anything that you enjoy,|sd sv
B|Yeah. Yeah.|b b
A|um, it doesn't really have to matter, I mean, it could be working on cars could be your hobby really.|sv sv
B|Really yeah, I kind of enjoy doing that a little bit, too. No, I, I guess if you make money at it, it becomes a vocation|aa aa sd nn sv
A|well, I don't know, I told my husband, I said, you go out some to work on the car, it's not worth getting all mad and fighting and hollering at each other when it goes wrong. I says, you go pay to have someone do it.|h sd sv sd
B|Yeah|b
A|Because it always seems it goes wrong when you try to do something.|^q
B|I guess as far north as you are if you like gardening, you've still got a couple months to go, haven't you?|qy
A|Oh, yeah. Um, well, right now we, um, start our seeds inside.|ny sd
B|Uh-huh. Oh, yeah, that's right, you would, yeah.|b b ba bf %
A|We'll start them inside and, uh,|sd %
B|In cold frames or whatever the,|qy
A|Yeah, well, we usually start them right in the house.|ny sd
B|Uh-huh.|b
A|My sister tries to set up a greenhouse on her back deck and, and the and a wind storm come and knock it down.|sd sd
B|Huh.|b
A|But she's had really good luck. I mean, next month, well, actually, it, if you, if you start it in a couple weeks and you can get your plants outside, pretty much the end of May, you can leave them outside.|sd % % sd sd
B|Uh-huh.|b
A|You might put them in the ground just the first week of June|sd
B|Yeah.|b
A|but we can put potatoes in the ground in the middle of May.|sd
B|Yeah, I've, I've lived in, in Texas and New Mexico most of my life, but I did once, I spent one winter in North Dakota,|b sd % sd
A|Oh.|b
B|and I, I remember that it was on into May before it really started warming up, and, uh|sd %
A|Yeah, well, well, we live, we live really close to Lake Champlain, which is in the Champlain Valley,|b sd
B|Oh, yeah.|b
A|so we're a little, we're about two weeks ahead of everyone else out on the outskirts so,|sd %
B|Okay, because that kind of moderates the weather a little bit?|bk qy^d
A|Yeah.|ny
B|Yeah.|b
A|We are a little lucky. Well, my brother lives ten miles from here|sd sd
B|You're at,|%
A|and he gets frost and, his crop gets killed.|sd sd
B|Yeah. You're right across the, uh, lake from, what, Plattsburgh?|b qy^d
A|Yeah, from Plattsburgh Air Force Base.|ny sd
B|Yeah, yeah.|b b
A|But, um,|%
B|Yeah, I had, I had a cousin that was stationed there, Plattsburgh for a while. He, he remembers lots of snow|b sd sd
A|Yeah, Plattsburgh's kind of a, it's, uh, it's, uh, depressed economically.|b sd sd
B|Oh, really, oh.|b
A|When you go across the lake, um, I don't know why we have so much going for us, I really don't. I'm, just wrote my resume up because told we might be facing layoff over at Digital and they've never had, well, they've had layoffs recently, but when we got hired here, no, no, never any layoffs, never, never, and now we're looking at serious, I, I mean, I'm a technician.|% sd sd sd sd sd % sd
B|Yeah.|b
A|When they start getting rid of technicians,|sv
B|Yeah, well, I'm, I'm working for T I, Texas Instruments, down here.|b sd
A|Well, I interviewed with them.|sd
B|Oh, yeah?|bh
A|But I didn't want to go to Texas.|sd
B|Oh,|b
A|Even though my, um, mother's people are from Georgia.|sd
B|Oh,|b
A|Yeah.|b
B|yeah.|b
A|Well, I guess we have to get back to hobbies since,|ad
B|Yeah, we're getting to where, we're straying, I guess,|aa sv
A|Stick on the subject.|ad
B|yeah.|%
A|Well, interesting thing that I do is with, gardening, uh, my sister grows flowers that you can dry,|sd sd
B|Uh-huh.|b
A|and you can make uh, dried flower arrangements and you can get real handy with the hot glue gun. And we made some really nice Christmas wreaths with, uh, dried red flowers and dried white flowers and, uh, eucalyptus.|sd sd sd
B|Huh, yeah.|b
A|you know what eucalyptus is? It's,|qy %
B|Yeah, yeah, the, they uh, it's sold in the hobby stores and nurseries.|ny ny sd
A|Yeah, it's got a|aa %
B|It's got a kind of a peculiar smell to it but,|sd %
A|Yeah, at first I'm like, oh, how, why do people like this, but it, it is kind of a nice smell after a while. People put them in,|aa sd sv %
B|Yeah, I didn't realize what it was for a while. I'd walk into a room where some of that, and I'd wonder what is that, you know, and then one day I, I realized that it was eucalyptus.|aa sd sd sd sd
A|it's, it's, it's, uh, like a fad thing. I, I don't know. It's, I've never heard of it, in the last five years I've used so much of it that,|sd h sd sd
B|Yeah.|b
