A|Okay. Uh, do you want to go ahead or,|fo_o_fw_"_by_bc qy %
B|Oh, sure. Uh, well I, uh, went to school at Madison for two years and they are really big on women's rights. And, and equal treatment.|na sd sd
A|Uh-huh. Uh-huh.|b b
B|And so I, I've seen a lot of like rallies and things like that. But, uh, I'm not that liberated. I mean my mom is kind of old-fashioned, you know.|sd sd sd
A|Uh-huh.|b
B|So, I, you know, you pick up some traits from her and stuff. But, uh, I think it's, I think it's interesting and better for women to see that there's more, more of them doing men's fields. I like to see that. And  I don't like to see women, you know, like waiting on men hand and foot|sd sv sd sd
A|Right.|b
B|but, you know, I, I believe in like sharing and doing things for each other.|sd
A|I do too. I like the idea. I see a lot more, uh, my children, I have five children and they're all married.|sd sd sd sd sd
B|Uh-huh.|b
A|And, uh, I love seeing the men help the women so much.|sd
B|Right.|b
A|And they both cooperate together on, I think it's great.|sd sv
B|Oh, me too I hope that happens to me someday. I mean, I, I don't mind  doing stuff. Uh, I have a boyfriend and I got to make him dinner and stuff but, you know, I, he'll help me do the dishes. I don't want to, you know expect to help to clean up then after|aa sd sd sd sd sd sd
A|Right.|b
B|Yeah.|%
A|That's right. That's right.|aa aa
B|Yeah. So|b %
A|I've always taught my men that. They better clean up with their women and help them. If they did that, you know.|sd sd sd
B|Right.|b
A|And they're, they're good about it. But it is neat to see them all work together. And  a big thing that I see. All that, most of the, most of the women getting married now, uh, go back, have gone back to, you know,|sd sv sv
B|Uh-huh.|b
A|they, they stay at work or go back to work. Or whatever.|sd
B|Right.|b
A|And they're well educated.|sv
B|Uh-huh.|b
A|And I believe we'll see a lot more C E O in companies. They're having a fit about how little there are.|sv sd
B|Oh.|b
A|And I think we'll see a lot more. Don't you? Of upper management? Then we do now, even.|qy
B|Oh, yeah. Uh-huh. Right.|ny ny b
A|I think it'll escalate.|sv
B|Yeah.|b
A|And, uh, and I think black women now in fact I work at a high school.|sv sd
B|Uh-huh.|b
A|And my boss is a black woman and has only been there a couple of months and already promoted and she's very sharp. And I think that and the ethnic thing will be, you know, is a good thing now.|sd sd sv sv
B|Oh, me too.|aa
A|They're moving them up and they're sharp and they, so you're going to see a lot, a lot more of that in leadership I believe.|sd sd % sv
B|Yeah. I like to see that. I think it's, uh, really neat to see and all that educated minority, uh, person  who really knows what they're talking about.|b sd sd
A|Uh-huh.  Right.|b
B|And it's just too bad that some people, you know, still look down on them just because of their color. You know.|sd
A|Right. That's|b sv
B|Especially black women.|sv
A|Yes.|aa
B|So.|%
A|Yeah. But they know what they're doing.|b ^q
B|Right.|b
A|But I'm not big on subserving as far as  to the men at all.|sd
B|Uh-huh. Right.|b b
A|But I never have gone along with that, you know. Even far back. But I was brought up pretty good in a home that, years ago my mother was that way. The same. I, my you know, some people say oh the boys shouldn't have to do those jobs. The inside jobs. But we never were taught, they had to do as much as we did. So that was good.|sd sd sd sd % % % sv sd sd sv
B|Right, same here. Yeah.|aa aa %
A|So that's, I think that's good. To keep the equal as far as, as, uh, not, uh, necessarily by sex type thing.  You know.|sv
B|Right. Same here.|aa aa
A|You should be able to accomplish as much. And I think the, uh, attitude is a lot better towards the parents raising the younger ones now.|sv sv
B|Uh-huh.|b
A|You see a lot more of the mothers and all saying to the young girls, you know  you can do it.|sv
B|Yeah.|b
A|If he  can do it, you can do it type thing.|sd
B|Yeah. Exactly. I, I see more men, uh, like participating in like the family things with children. Like, you know, helping to take care of them more. And and, uh, uh, doing the jobs equally, you know,|b aa sd
A|Uh-huh. Uh-huh. Right. What about politics on it?|b b b qo
B|Oh.|b
A|Do you think the political scene?|qy
B|I'm not that big on politics. I'm not that educated on it.|^h sd
A|Yeah.|b
B|I'm,|%
A|I'm real I'm kind of disgusted this year because I don't see many women into the political scene and I really think we should have more political leaders in the women than we do up for, and even for President and Vice President this year,|sd sv
B|Oh, yeah. I agree with that.|aa aa
A|there's nobody again. I think they're all scared out after after, uh, oh, what was the lady's name that ran a couple of, I forget her name now.|sd sd qw sd
B|Oh, I don't know|sd
A|But you know who I mean?|qy
B|Yeah, I know who you're talking about.|ny sd
A|Yeah. She took such a rough go of it. And they their tax deal and,|b sv sd
B|Yeah. At least she was strong to like try it and you know.|b sd
A|Right. Right.|b b
B|So that's good.|sv
A|But I wish they would get some more on that. I really was disappointed this year when I see any of the candidates talking that they're talking about. Uh, they, I didn't see any of the women in there.|sd sd sd
B|Uh-huh.|b
A|And that disappoints me.|sd
B|Oh.|b
A|And right now I don't think we have too many. Uh, in the forefront. Schroeder's about the biggest one in Washington.|sd sv
B|Uh-huh.|b
A|Congress woman. And, uh, other uh, we really,|sd % %
