B|Women?|fo_o_fw_"_by_bc
A|Yeah, the changing roles of women, how roles changed and what do you see coming in the future.|ny sd sd
B|Oh, okay, that's not a broad enough topic|bk sd
A|Okay, yeah. Sounds good.|b b sv
B|I'm ready when you are.|sd
A|Okay, hold on.|b ad
B|Okay.|aa
A|Are you there?|qy
B|Yeah, I'm here.|ny sd
A|Oh my goodness, I can't believe I did that. Okay, hold on.|ba sd ^h ad
B|That's okay.|aa
A|Okay, um, I.|fo_o_fw_"_by_bc %
B|Okay, um, I don't know, are you in your thirties, or,|fo_o_fw_"_by_bc h qy %
A|No, I, I'm twenty-three.|nn sd
B|Oh, okay.|bk
A|Uh-huh.|b
B|Well then I can tell you that roles have changed. I'm thirty-eight|sd sd
A|Uh-huh, uh-huh.|b b
B|and they changed quite a bit.|sv
A|Uh-huh.|b
B|Um, I, this was my twentieth high school reunion, in Chicago.|% sd
A|Uh-huh.|b
B|And basically, um, the choices, I mean, you know, you probably heard that in the fifties women liked to stay home and all that.|% sv
A|Right, uh-huh.|b b
B|That's kind of, um, the opposite of what it was in the sixties and early seventies.|sd
A|Right.|b
B|It was sort of just to um, go protest,|sv
A|Uh-huh.|b
B|and, uh, just, everybody be damned and live with some one, and, you know,  social morals were a little bit lacking.|sv sv
A|Uh-huh, I know that, Uh-huh, I know that, uh, in, in the early seventies, uh, I think women were the first people to, to make a move as far as individuals.|b % b sv
B|Uh-huh.|b
A|Um, uh, before that a lot of people that wanted to protest were large groups like, uh, black people, or, you know, just large, large groups of people, but, but the,|sv %
B|Right it was more, it was more civil rights oriented, or race oriented rather than gender based,|b sv
A|Right,|b
B|yeah.|b
A|and I think, I think the women's movement kind of brought in individual lives where you had women's movements and you had gay movements,  and just the smaller groups of people.|sv sv
B|Uh-huh. It did.|b ba
A|And I think since then is, is when a lot of the women's roles have started to change.|sv
B|It did and some of the other stuff that, um, I think that changed it, you, uh, when I first got out of college fifteen years ago, they were always saying well, if you, if you were assertive you were a libber, or you were aggressive not assertive and independent.|ba sv sv
A|Uh-huh.|b
B|And in terms of the corporate community, I've seen a big change in terms of men finally being quote, unquote, used to women,  who are in, uh, controlling positions,  as higher, you know, corporate, in the corporate hierarchy.|sd
A|Uh-huh. Exactly. Uh-huh|b ba b
B|So I think that's good.|sv
A|I think that, uh, you know, you can just look at home life and see, I've been talking to a lot of people about education and things,  and, and what, what, what affects the school system|sv
B|Uh-huh.|b
A|and I think that a big thing that effects it is that the mother is not home anymore,  um, like she used to be.|sv
B|Right.|b
A|She used to be kind of a, kind of a, a rock, you know,  in the house,|sv
B|The mainstay, yeah.|^2 b
A|yeah. And, uh, since, since everyone is going out and working now, whether it be because of finances or just the economy,  uh, the mother's not there anymore|aa sd
B|and restructuring, stepfamilies, yeah.|^2 b
A|and the children are, I think, I think a lot of society is suffering. Not to say that women shouldn't, you know, go out and do what they want to do but I think that, um,  society's really going to have to get used to it.|% sd h sv
B|Right.|b
A|And they're not quite used to it yet and that's I,|sv %
B|The schools or the the schools or the parents, yeah.|% b
A|Yes, uh-huh.|b b
B|Um, I'm trying to think of what else. I have a lot of opinions on this except all of a sudden I went blank A lot of the things, um, the demographics do, I mean, there are more, I don't have the numbers in my head right now, but, a lot of the things that brought feminism, I mean there are just more women in, in, in the demographics, just generally,  in the United States, in terms of being,|^h sd sv sv sd sv
A|Right, uh-huh. Uh-huh.|b b b
B|I mean, I'm the typical baby boomer, I hate that term,|sd sd
A|Oh, yeah.|b
B|but in terms of women,  women going out, I mean twenty-three, I remember that.|sd
A|Yeah.|b
B|What's it like to be twenty-three as a woman today, I mean, when I was twenty-three the issues were either go to graduate school or get married,|qw sd
A|Uh-huh.|b
B|um, those were the general issues.|sd
A|Speaking of getting married, I was talking to someone yesterday on this, on the project,|sd
B|Uh-huh.|b
A|and, uh, uh, we were talking about child care and he asked me if I had any kids. He was about forty or fifty years old and I said no, I'm just twenty,|sd sd sd sd
B|He was ancient, yeah.|sd %
A|and I said no, I'm just twenty-three,  you know, because I don't think of myself as needing to have children|sd
B|Uh-huh.|b
A|but the first thing he says is, well don't you miss that part of your life. And I just, I, my, my mind just went,|sd % % sd
B|You didn't know what you're going to be missing.|^2
A|I went, what. You know, because it it really didn't, doesn't even occur to me right now to have children,|sd sd
B|I don't have any either and I've been a married for eleven years, so.|sd sd %
A|Yeah, and I, it just, you know, I think that I'll probably have children when I'm about thirty, thirty-five, something like,  just because, I'm not sure if it's just, if it's just me, or, or women in general that are twenty-three right now, because, um, I'm really into my career.|b % sd
B|Yeah, when it's time, uh-huh.|b bf b
A|I'm trying to go somewhere, and,  and get there quick and then worry about, you know, because right now, in my career I'm, I'm really starting out,|sd
B|Yeah, you want to establish,|b ^2
A|and it's going to take me a while to move up.|sd
B|Uh-huh,|b
A|And I don't need anything kind of holding me back, um.|sd
B|Right and, and you'll find that that's the other big thing that has changed in terms of,  um, women don't feel like they need to get married anymore.|b sd
A|Uh-huh. Right, uh-huh.|b b b
B|I was twenty-seven when I got married and I just at the time, um, my husband actually even jokes about it.|sd sd sd
A|Uh-huh.|b
B|He was twenty-three when we met an I was at a point where it was like, I didn't date, I mean, I just, I went out to have a good time,|sd sd sd
A|Right.|b
B|but I didn't have to have male companionship.|sd
A|Right, right.|b b
B|Um, and a lot of the, um, friends that I had in school at that point, who had gone back and gone to law school, or M B A programs, um, which I also had done, had just, you know, they were very sad.|sd
A|Uh-huh.|b
B|But then by the time I got married, um,  it seemed like they were on their second or third around the marriage track.|sd
A|Uh-huh. Yeah, yeah,|b b b
B|So, I guess that's a big change in terms of, just, um, the attachments that women feel like they need to have, the dependency,  their self-identity is stronger.|sv
A|Yeah, yeah, it's, it's just really not there anymore.|b b sv
B|Yeah.|b
A|And that, that has to do with, you know, the women getting out and other women seeing, uh, women seeing other women, you know,  out in the corporate world.|sv
B|Right. Uh-huh.|b b
A|That's like, oh, I can do that. You know, maybe,  I don't need to get married.|sv ^q
B|Right, and I, I, I mean, I don't know how,  how old your mom is, she's probably, let's see my mother's in her early sixties, so.|b sd sv sd %
A|She's, she's about forty.|sd
B|Okay, I'm thirty-eight, your mother's I just turned thirty-eight. Um, yes I'm laughing, oh my God. It does start to creep up.|b sd sd sd b sd ba sd
A|Uh-huh.|b
B|No, um, but it's okay, don't ever let age, I mean, I don't|b bd sd sd
A|Okay.|b
B|nobody talks about it for women except other women and other men.|sv
A|I, I just turned twenty-three, uh,  April twentieth,|sd
B|Uh-huh.|b
A|and I'm still going, you know, oh my God, I'm getting so old. I just, because me, myself, I just like to move really, really quickly.|sd % sd
B|Yeah, an,|b %
A|I like to, anything I do, I got out of school quick. I'm, you know,  I'm working quick.|sd sd sd sd
B|Uh-huh.|b
A|I want to move up quick. I want to make money quick. I want to retire quick.|sd sd sd
