A|Okay, so, uh, do you own a P C?|fo_o_fw_"_by_bc qy
B|Um, no, not personally but,|nn sd %
A|But you have one at work.|qy^d
B|Yes, uh-huh, Yeah, several|ny ny ny sd
A|Okay, and, now because, um, see I'm, I'm doing my, uh, Master's in Computer Science and Computer Engineering.|b sd sd
B|Uh-huh.|b
A|And, um, and I, I don't have one, but I have to use them, like during, especially during my undergrad.|sd sd
B|Right. Uh-huh.|b b
A|You, you use, um, like your first couple of years you use personal computers because, uh, you know, the software. You know, like it's easier for you to go to and run a program, you know, through the disk, because, um, the grader can do it at home.|% sv sv
B|Uh-huh. Uh-huh. Yeah.|b b b
A|Then, as the, you know, as you go up higher, like in your senior level, you're doing projects which are, are so big, and you have to have so many people sharing the same data, that you can't use personal computers, so you have to use, you know, a main frame.|sv sv
B|Uh-huh. Right, right. Yeah, I know I, uh, I do have a, uh, you know, a computer at home, but it's one that the company has loaned me.|b aa aa % sd sd
A|Oh, okay.|bk
B|And, that, that's been my situation, is that, uh, that way I can get in, access our, uh, computers that I have up here and, you know, do work from home.|sd
A|But does it have, uh, like, a disk drive?|qy
B|Oh yeah. Yeah, yeah, yeah,|ny ny ny ny
A|Oh, okay, because, uh, the ones that we use, you know, are like UNIX base systems.|bk sd
B|Right. Uh-huh.|b b
A|And, so they don't have a disk drive.|sd
B|Right.|b
A|You know, so you can't, the only way that you can do it is through a modem.|sd sd
B|Right.|b
A|And, you, you know, you just do it that way.|sd
B|Yeah.|b
A|But, that's, uh, that's the only way that you can get to, through to the system, you can't store it anywhere.|sd sd
B|Right. Yeah, no I, um, I, I have both, because that, that's what I use all the time is UNIX Systems. Um, versus the DOS. But then I teach DOS classes, uh, at night.|aa aa fo_o_fw_"_by_bc sd sd
A|Oh, okay.|bk
B|Uh-huh, part time. So,|b sd %
A|And then you also have to do all your grading on the P C.|bf
B|Well, that, that's the really neat thing, I teach in the continuing education classes, so I don't, uh, I don't have to have any grades, no grade books, so that's great|sd
A|Oh, okay.|bk
B|But, no, I find that I use the, the personal computer a lot though for my WordPerfect, and also for my spread sheets.|fo_o_fw_"_by_bc sd
